"dbMEM.1" "dbMEM.2" "dbMEM.3" "dbMEM.4" "dbMEM.5" "dbMEM.6" "dbMEM.7" "dbMEM.8" "dbMEM.9" "dbMEM.10" "dbMEM.11" "dbMEM.12" "dbMEM.13" "dbMEM.14" "dbMEM.15" "dbMEM.16" "dbMEM.17" "dbMEM.18" "dbMEM.19" "dbMEM.20" "dbMEM.21" "dbMEM.22" "dbMEM.23" "dbMEM.24" "dbMEM.25" "dbMEM.26" "dbMEM.27" "dbMEM.28" "dbMEM.29" "dbMEM.30" "dbMEM.31"
"8123" 0.737905394478558 1.29217720263675 0.32685221615325 -0.089430399082659 0.48296053511579 -0.06852412647277 0.0178368915993203 -0.339013890905142 0.258738647765356 -0.0264071346333538 0.096675276124344 0.185437042431217 -0.264324862148377 -0.0223622466448811 0.139743755667915 0.100235153265005 -0.068127025901561 0.0116611693023594 0.024239661454909 0.000137152901719132 0.0568254317343978 -0.0589349381491172 -0.0611988624248269 0.00708135269097056 0.00516311203983944 -0.0841301841984525 0.0534475986058294 0.134145336652418 0.00797247062382717 -0.00903486623892087 -0.145614206239861
"8582" -0.141281056032717 -0.288176187920584 0.481143307871235 0.674842093593237 0.179813687657993 0.948253610039248 0.23996479406278 -0.80292465332303 -0.950006331107939 1.79219496975356 1.0582266295961 -0.846383252183931 0.710796569784498 -2.01161254270201 -0.15083546330638 1.12262660519879 -0.126464718152438 -0.00816681007982535 -0.186791294031669 0.0276946986730836 -0.00429952105712749 -0.332446029504776 0.660172533040903 0.0221748826524969 0.0092664389082637 -0.0218223653937217 0.0029746145546738 -0.00786535899972788 0.655997073581463 -0.0398050096604685 -0.0304242567960164
"8384" 0.416419885825763 -0.622265169867701 -1.45160246939091 -0.771286163244189 0.405397184376549 -0.425956898129825 0.0417793333103293 -0.845938495154301 -0.779494544950578 -0.314456235314088 -0.163915247294403 0.487814447502818 -0.857213238188973 -0.527966753419821 0.0316317811982095 -0.096635190320593 -0.109992286011095 0.0107819860471869 0.00427293342859258 -0.00558929727486164 -0.505856884982671 1.01074351276781 0.52368758065826 0.0630302132665603 0.0215593786067639 0.114718764866739 0.0155770143540254 -0.0671100725586301 -0.007317989078695 -0.00319852448359535 0.0105016597134038
"8379" 0.416307428961226 -0.622191699075113 -1.45176871982164 -0.771320411521088 0.405335500703929 -0.426112793247534 0.0416159054379235 -0.846041334298826 -0.779591878643596 -0.31449368858528 -0.163881503183048 0.487901380912809 -0.857204265577882 -0.528098718123822 0.0316023426702683 -0.0965955979323977 -0.11003139540528 0.0107692605636102 0.00414376658911804 -0.00559308454257504 -0.505868555903152 1.0108338610317 0.523747174323883 0.0630363749388214 0.0215452511815501 0.114682652344675 0.0155926624128798 -0.0670301108685161 -0.00733351543827723 -0.00318846919002079 0.0105039806217696
"8473" -1.89114102690101 -1.72059552918818 -1.83822313927577 0.726936453927475 -0.350727100356 -0.647753309516789 0.389567663458898 -1.02287256838834 -1.05657022574092 -1.11371909291133 -1.10618516565053 -2.16504326667915 1.77186461703341 0.703252700180136 -0.0640277043080249 0.0760229968286639 0.00082560077388501 -0.000930138641556468 0.0115152579212518 -0.000483763472080881 0.242300549740002 0.358903429912939 0.159211554450619 0.0161301269987452 0.0053671877760407 -0.038570437387249 -0.0265705974198328 0.234561722800637 0.135233295368372 0.0573477893243626 2.35369680744758
"7780" -0.0497424868240476 -0.209293039106914 0.154440955578186 0.883549356612096 -0.115682260464313 1.31669929321114 -0.72588386971358 -0.754358269703496 -0.824637387503755 0.622032257593965 0.598973420434359 0.263660441266456 0.502271113159817 0.11282335721562 0.163464792002713 -1.6241507721152 0.310142090408678 -0.0397367924889159 -0.0684717703160597 0.0204964271652122 -0.0220801135661185 2.38403170679843 -4.69722004246494 -0.198261157829361 -0.0799814235222983 0.244659834412191 -0.015356760753892 -0.126656932507163 -0.191462003762602 0.0125005973719093 0.00460874043702509
"8045" 0.737225982475751 1.29386754722786 0.324908088973348 -0.0963510044851194 0.48356570813189 -0.0694505690060127 0.00820055342538128 -0.339463816758357 0.264443606853993 -0.0227967370979966 0.0991041423120636 0.186110035429467 -0.258871554648881 -0.0258910721691324 0.139357182420726 0.0979068296949783 -0.0670703092949575 0.0167538574710627 0.0185549834370856 -0.00167503994619507 0.0545010709787693 -0.0574684043896284 -0.0588269151282856 -2.36923854816763e-05 0.00160627078185793 -0.0804408192008725 0.053573912185222 0.12594059069047 0.00684264401342779 -0.0063465930411721 -0.142694911892388
"8666" 0.175286994005301 0.111837131816675 -0.783307216469351 1.01040917747771 -0.644757623553456 -0.01602650960186 -0.071081708673612 1.13347313574987 1.14452436755321 -0.482046368333345 -0.661251715518225 -1.08527033678598 -0.425402551999641 -1.7878178310453 0.1328454644866 -1.5310486970231 -1.49892012736891 0.0320077327050292 0.0158601574378681 0.000311051230106901 0.302221084979116 -0.0296009476434909 0.0400315695642365 0.0126446997235245 0.00565793801931015 -0.959343166849109 -0.024898676491932 0.342665911804997 0.0445764490952059 0.0237061728225405 -0.315550593316852
"7982" 0.340552827703567 -0.726281987490512 -1.42281406834156 -0.509180148516123 0.0726370790916796 -0.175148178972173 -0.0480287767902339 1.07952336695438 1.12185608322057 1.1275562955561 0.915964737030492 0.111411500853916 1.11490583017524 0.847587546465641 -0.149070097329062 0.0740855263572368 0.448344688987005 -0.0764282322573827 -0.0397258201024498 0.0148166226256745 -0.933419506110884 0.228235833010095 0.186302183120563 0.0635881743377706 0.0244450062341548 0.432341610302776 0.0788964827876598 0.15970315404111 -0.0170164044208197 -0.00988148492565291 0.147207546150709
"8679" -0.0136772867129934 -0.155891855711317 -0.0109255323393088 0.978672876740149 -0.263192017454351 1.41088147626865 -1.13303219736429 -0.595562457160728 -0.593713766655809 -0.151132775425598 0.172992892967683 0.724528785305068 0.194138306284417 1.12615758053694 0.212752201987239 -1.87718495531342 0.263690434751388 -0.0201256603654649 0.0592653385655598 -0.00878553537361746 0.00116526289590421 -0.740894098323484 1.51617800721823 0.0730676822772181 0.0289543401672676 -0.159157911170822 0.016226462136578 0.182685268325463 0.0282485318803673 -0.00151309483320182 0.00560404908068103
