"Salmo.trutta" "Phoxinus.phoxinus" "Parachondrostoma.miegii" "Luciobarbus.graellsii" "Salaria.fluviatilis" "Cobitis.calderoni" "Barbus.haasi" "Gobio.lozanoi" "Phoxinus.bigerri" "Achondrostoma.arcasii" "Squalius.laietanus" "Anguilla.anguilla" "Cobitis.paludica"
"CHE-301574" 1 1 0 0 0 0 1 0 0 0 0 0 0
"CHE-308158" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-367165" 1 1 1 0 0 0 1 0 0 0 0 0 0
"CHE-363812" 1 1 1 1 0 1 0 0 0 0 0 0 0
"CHE-294693" 1 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-277989" 0 1 1 0 0 0 0 0 0 1 0 0 0
"CHE-300540" 0 1 0 0 0 0 1 0 0 0 0 0 0
"CHE-363228" 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-361212" 1 1 1 1 0 0 0 0 0 1 0 0 0
"CHE-360678" 0 0 1 1 0 0 0 0 0 1 0 0 0
"CHE-273389" 1 1 1 1 0 1 0 1 1 0 0 0 0
"CHE-360474" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-359946" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-291540" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-281438" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-189928" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-301338" 1 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-370341" 1 1 1 1 1 0 0 1 1 0 0 0 1
"CHE-294542" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-280152" 0 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-382167" 0 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-280141" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-307947" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-304400" 1 1 0 0 0 0 1 0 1 0 0 0 0
"CHE-312504" 1 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-367128" 1 1 1 0 0 0 1 0 0 0 0 0 0
"CHE-280057" 1 1 1 1 0 0 0 0 0 1 0 0 0
"CHE-105002" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-293208" 1 1 0 1 0 0 1 0 0 0 0 0 0
