"Salmo.trutta" "Phoxinus.phoxinus" "Parachondrostoma.miegii" "Luciobarbus.graellsii" "Salaria.fluviatilis" "Cobitis.calderoni" "Barbus.haasi" "Gobio.lozanoi" "Phoxinus.bigerri" "Achondrostoma.arcasii" "Squalius.laietanus" "Anguilla.anguilla" "Cobitis.paludica"
"CHE-270020" 0 1 1 1 0 1 0 1 1 1 0 0 0
"CHE-351560" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-114041" 0 1 1 1 1 0 1 0 1 0 1 0 0
"CHE-343288" 1 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-36625" 0 1 1 1 0 0 1 0 0 0 0 0 0
"CHE-42600" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-334122" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-312574" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-75381" 1 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-91839" 0 1 1 1 1 0 0 0 0 0 0 0 0
"CHE-343444" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-334298" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-314622" 0 0 1 1 0 0 1 0 0 1 0 0 0
"CHE-75280" 1 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-313873" 0 0 0 1 0 0 1 1 0 1 0 0 0
"CHE-75034" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-31067" 0 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-89917" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-91430" 0 1 1 1 1 0 1 0 0 0 0 0 0
"CHE-36514" 0 0 1 1 0 0 1 1 1 0 0 0 0
"CHE-316215" 0 0 1 0 0 0 1 0 0 1 0 0 0
"CHE-177723" 1 0 1 1 0 0 0 1 1 0 0 0 0
"CHE-344505" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-39768" 0 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-260070" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-260048" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-249993" 0 0 1 1 0 0 0 0 0 1 0 0 0
"CHE-90246" 0 0 1 1 1 0 1 0 1 0 0 0 0
"CHE-90285" 0 0 1 0 0 0 0 0 0 0 0 0 0
"CHE-74732" 1 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-260080" 0 0 1 1 0 0 0 1 0 1 0 0 0
"CHE-259922" 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-251372" 0 1 1 1 0 0 0 1 1 1 0 0 0
"CHE-316910" 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-335072" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-345715" 1 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-41515" 1 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-36189" 0 0 1 1 0 0 1 0 0 1 0 0 0
"CHE-113013" 1 1 0 1 1 0 1 0 0 0 1 0 0
"CHE-259831" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-344932" 1 1 1 1 0 0 0 0 0 1 0 0 0
"CHE-317014" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-335629" 1 1 0 0 0 0 1 0 0 0 0 0 0
"CHE-41388" 1 0 1 1 1 0 0 0 0 0 0 0 0
"CHE-346978" 1 1 1 0 0 0 1 0 0 0 0 0 0
"CHE-248430" 0 1 1 1 0 0 0 1 1 1 0 0 0
"CHE-31961" 0 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-110379" 0 0 1 0 0 0 1 0 0 0 0 0 0
"CHE-347379" 1 1 1 1 0 0 0 0 0 0 0 0 0
"CHE-88964" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-260104" 0 0 0 1 0 0 0 0 0 1 0 0 0
"CHE-40943" 0 0 1 1 1 0 1 1 0 0 1 0 0
"CHE-111804" 1 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-337195" 1 1 1 0 0 0 0 0 0 0 0 0 0
"CHE-317680" 0 0 0 0 0 0 1 0 0 1 0 0 0
"CHE-111578" 1 1 1 1 1 0 1 0 0 0 1 0 0
"CHE-335803" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-260105" 0 0 0 1 0 0 0 0 0 1 0 0 0
"CHE-39199" 0 0 1 1 1 0 0 0 0 0 0 0 0
"CHE-260142" 0 0 0 1 0 0 0 0 0 1 0 0 0
"CHE-256606" 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-260622" 0 0 0 1 0 0 0 0 0 1 0 1 0
"CHE-256883" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-260760" 0 0 0 1 0 0 1 0 0 1 0 0 0
"CHE-262333" 0 0 0 1 0 0 0 0 0 1 0 0 0
"CHE-265291" 0 0 0 1 0 0 1 0 0 1 0 0 0
"CHE-39135" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-36113" 0 0 1 0 0 0 0 0 0 0 0 0 0
"CHE-107073" 1 0 1 1 1 0 0 0 0 0 1 1 0
"CHE-257065" 0 0 0 0 0 0 1 0 0 1 0 0 0
"CHE-105460" 1 0 0 1 1 0 0 1 0 0 1 1 0
"CHE-261243" 0 0 0 0 0 0 1 0 0 1 0 0 0
"CHE-262876" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-38015" 0 0 0 0 0 1 0 0 0 0 0 0 0
"CHE-176669" 0 0 1 1 0 1 0 1 1 0 0 0 0
"CHE-107177" 0 0 1 1 0 0 0 0 0 0 1 1 0
"CHE-257317" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-252293" 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-70892" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-70500" 1 0 0 1 0 0 0 0 0 0 0 1 0
"CHE-109202" 0 0 0 1 0 0 1 0 0 0 0 1 0
"CHE-257748" 1 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-246777" 0 0 0 1 1 0 0 1 0 0 0 0 0
"CHE-246756" 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-37938" 0 0 1 0 0 1 0 1 0 0 0 0 0
"CHE-83620" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-257768" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-257936" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-252720" 0 0 0 0 0 0 1 0 0 1 0 0 0
"CHE-85339" 0 0 1 1 0 0 1 1 0 0 0 0 0
"CHE-246416" 0 0 0 0 0 0 0 1 0 0 0 0 0
"CHE-30760" 0 0 1 1 0 0 0 0 0 0 1 0 0
"CHE-253385" 0 0 0 0 0 0 1 0 0 1 0 0 0
"CHE-245575" 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-70459" 0 0 1 1 0 0 0 1 0 0 0 0 0
"CHE-245352" 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-245324" 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-34568" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-245356" 0 0 0 0 0 0 0 1 0 0 0 0 0
"CHE-254220" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-83599" 0 0 0 1 0 0 0 1 0 0 1 0 0
"CHE-196145" 0 0 1 1 0 0 0 1 0 0 0 0 0
"CHE-174854" 0 0 1 1 0 0 0 1 1 0 0 0 0
"CHE-82180" 0 0 0 1 0 0 0 1 0 0 1 0 0
"CHE-196073" 0 0 0 0 0 0 0 1 0 0 0 0 0
"CHE-195658" 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-70446" 0 0 1 1 0 0 0 1 0 0 1 1 0
"CHE-29795" 0 0 0 0 0 0 0 1 0 0 1 0 0
"CHE-195711" 0 0 0 0 0 0 0 1 0 0 0 0 0
"CHE-174731" 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-174725" 0 0 1 1 0 0 0 1 0 0 0 0 0
"CHE-195372" 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-196383" 0 0 1 1 0 0 0 1 0 0 0 0 0
"CHE-37307" 0 0 0 0 0 0 0 1 0 0 1 0 0
"CHE-28658" 0 0 1 1 0 0 0 1 0 0 1 0 0
"CHE-206240" 1 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-206613" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-68796" 0 0 0 1 0 0 0 0 0 0 1 0 0
"CHE-197164" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-67254" 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-173299" 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-28208" 0 0 0 0 0 0 0 1 0 0 0 0 0
"CHE-67249" 1 0 0 0 0 0 0 0 1 0 1 0 0
"CHE-190846" 0 0 1 1 0 0 0 1 0 0 0 0 0
"CHE-172350" 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-202807" 1 0 1 1 0 0 1 1 0 1 0 0 0
"CHE-172140" 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-207367" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-191888" 0 0 1 1 1 0 0 1 0 0 0 0 0
"CHE-172071" 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-228130" 0 0 0 0 0 0 1 1 0 0 0 0 0
"CHE-192295" 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-209169" 0 0 0 1 0 0 1 0 0 0 0 0 0
"CHE-237370" 0 0 1 1 0 0 1 1 0 0 0 0 0
"CHE-228018" 1 0 1 1 0 0 1 1 0 1 0 0 0
"CHE-165680" 0 0 0 0 0 0 0 1 0 0 0 0 0
"CHE-192503" 0 0 1 1 1 0 1 1 0 0 0 0 0
"CHE-12907" 0 0 1 1 0 0 0 0 0 0 0 1 0
"CHE-230265" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-12328" 0 0 1 1 0 0 1 0 0 0 1 0 0
"CHE-227729" 0 0 1 1 0 0 0 1 0 0 0 0 0
"CHE-230327" 1 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-154761" 0 1 0 1 0 0 0 0 0 0 0 0 0
"CHE-236505" 0 0 0 1 0 0 0 0 0 1 0 0 0
"CHE-213245" 0 0 0 1 0 1 0 0 0 0 0 0 0
"CHE-238550" 0 0 1 1 0 1 0 0 0 0 0 0 0
"CHE-17773" 0 1 1 1 1 0 0 0 0 0 1 0 1
"CHE-15656" 0 0 0 0 0 0 0 1 0 0 0 1 0
"CHE-18255" 0 0 1 1 1 0 0 0 0 0 1 0 0
"CHE-11769" 0 0 1 1 0 0 1 0 0 0 1 1 0
"CHE-17565" 0 0 1 1 1 0 0 0 0 0 1 0 0
"CHE-127580" 0 0 0 0 1 0 0 0 0 0 0 0 0
"CHE-127637" 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-242353" 1 0 1 1 0 0 0 1 0 0 0 0 0
"CHE-20250" 0 0 1 1 1 0 1 0 0 1 1 0 1
"CHE-18361" 0 0 1 1 0 0 1 0 0 0 1 0 0
"CHE-20419" 0 0 1 1 0 0 0 0 0 0 1 0 0
"CHE-230765" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-11232" 0 0 1 1 0 0 0 0 0 0 1 1 0
"CHE-234435" 1 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-156412" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-20451" 0 0 1 1 0 0 0 0 0 1 0 0 0
"CHE-234572" 1 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-13889" 0 0 0 1 0 0 0 0 0 0 0 1 0
"CHE-9977" 0 0 0 0 0 0 0 1 0 0 0 0 0
"CHE-9905" 0 0 0 1 0 0 0 1 0 0 0 1 0
"CHE-194655" 0 0 1 1 0 0 1 0 0 1 0 0 0
"CHE-231749" 1 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-10249" 0 0 0 0 0 0 1 0 0 0 1 0 0
"CHE-156578" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-18653" 0 0 1 1 0 0 0 0 0 0 1 0 0
"CHE-216052" 1 0 1 1 0 0 1 1 0 1 0 0 0
"CHE-234792" 0 0 0 0 0 0 0 0 0 1 1 0 0
"CHE-128674" 0 0 1 1 1 0 0 0 0 0 0 0 0
"CHE-8727" 0 0 0 1 0 0 0 0 0 0 0 1 0
"CHE-8780" 0 0 0 1 0 0 0 1 0 0 0 1 0
"CHE-129014" 0 0 1 1 1 0 1 0 0 0 0 0 0
"CHE-20946" 0 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-169549" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-157529" 0 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-6224" 0 0 0 1 0 0 0 1 0 0 0 1 0
"CHE-21186" 0 0 1 1 0 0 0 0 0 1 0 0 1
"CHE-159994" 0 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-157930" 0 0 0 1 0 0 1 0 0 0 0 0 0
"CHE-160732" 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-19491" 0 0 1 1 0 0 1 0 0 0 1 1 0
"CHE-217632" 1 0 0 1 0 0 1 0 0 0 0 0 0
"CHE-19533" 0 0 1 1 0 0 0 0 0 0 1 0 0
"CHE-21783" 1 0 1 1 0 0 1 0 0 1 0 0 0
"CHE-19864" 0 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-161225" 0 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-130326" 1 0 1 1 0 0 0 1 0 0 0 0 0
"CHE-220163" 1 0 1 1 0 0 1 0 0 1 0 0 0
"CHE-4674" 0 0 0 1 0 0 0 0 0 0 1 1 0
"CHE-23969" 0 0 1 1 0 0 1 0 0 1 0 1 0
"CHE-132620" 1 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-218137" 1 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-22014" 0 0 1 1 0 0 1 0 0 1 0 0 0
"CHE-22111" 1 0 1 1 0 0 1 0 0 0 0 1 0
"CHE-22120" 1 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-22231" 0 0 1 0 0 0 1 0 0 0 0 0 0
"CHE-22962" 1 0 1 1 0 0 1 0 0 0 0 1 0
"CHE-23553" 1 0 1 0 0 0 1 0 0 0 0 0 0
"CHE-142628" 1 0 1 1 0 0 0 1 0 0 0 0 0
"CHE-22425" 1 0 1 0 0 0 1 0 0 0 0 0 0
"CHE-23713" 1 0 1 0 0 0 1 0 0 0 0 0 0
"CHE-133307" 0 0 1 1 0 0 1 1 0 0 0 0 0
"CHE-23217" 1 0 1 1 0 0 1 0 0 1 0 0 0
"CHE-143170" 1 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-219758" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-26060" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-223415" 0 0 1 1 0 0 1 0 0 1 0 0 0
"CHE-134507" 0 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-145601" 1 0 1 1 0 0 0 0 0 0 0 0 0
"CHE-149934" 1 0 1 0 0 0 1 0 0 0 0 0 0
"CHE-151058" 1 0 1 0 0 0 0 0 0 0 0 0 0
"CHE-147188" 1 0 1 1 0 0 1 0 0 0 0 0 0
"CHE-135451" 0 0 0 0 0 0 1 0 0 0 0 0 0
"CHE-225948" 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-152538" 1 0 0 1 0 0 0 0 0 1 0 0 0
