"slope" "geology" "order" "elev" "t_Jan" "t_Jul" "width" "AGR" "FR" "UR"
"7963" 29 "kalk" 4 1085 -4.271 14.399 2.19722457733622 0.337539432176656 0.561514195583596 0.100946372239748
"7964" 44 "kalk" 3 1112 -4.28 14.266 2.14006616349627 0.475155279503106 0.416149068322981 0.108695652173913
"8446" 12 "silikat" 3 799 -3.993 14.558 1.50407739677627 0.396875 0.534375 0.06875
"8146" 25 "kalk" 3 524 -3.048 15.581 2.19722457733622 0.127329192546584 0.81055900621118 0.062111801242236
"8147" 18 "kalk" 3 502 -2.828 15.824 2.39789527279837 0.240625 0.596875 0.1625
"8430" 34 "silikat" 2 369 -2.452 18.038 1.25276296849537 0.155763239875389 0.838006230529595 0.00623052959501558
"7778" 6.4 "kalk" 2 542 -2.4 16.8 1.48160454092422 0.537735849056604 0 0.462264150943396
"8374" 71 "kalk" 2 569 -4.071 15.074 1.79175946922805 0.093167701863354 0.906832298136646 0
"8672" 60 "kalk" 2 728 -3.274 15.109 1.6094379124341 0.00625 0.99375 0
"8040" 20 "kalk" 3 499 -3.121 15.301 2.39789527279837 0.246105919003115 0.570093457943925 0.183800623052959
"7753" 221 "silikat" 4 884 -4.4 14.3 1.7227665977411 0.282608695652174 0.717391304347826 0
"7869" 3 "kalk" 2 195 -1.74 18.845 0.916290731874155 0.875 0 0.125
"8514" 1.6 "kalk" 3 166 -1.155 19.905 2.63905732961526 0.618012422360248 0.232919254658385 0.149068322981366
"8556" 4 "kalk" 6 334 -2.619 17.798 1.79175946922805 0.718266253869969 0.120743034055728 0.160990712074303
"8521" 22 "kalk" 2 517 -2.698 17.112 1.09861228866811 0.430817610062893 0.207547169811321 0.361635220125786
"8558" 3 "silikat" 3 433 -2.286 17.25 2.07944154167984 0.6375 0.3625 0
"8671" 9 "kalk" 3 446 -1.882 17.39 2.19722457733622 0.606918238993711 0.172955974842767 0.220125786163522
"7981" 8 "kalk" 2 246 -1.8 18.3 0.993251773010283 0.542056074766355 0.0342679127725857 0.423676012461059
"8241" 2.5 "kalk" 5 757 -3.9 15.4 1.33500106673234 0.700934579439252 0.29595015576324 0.00311526479750779
"8525" 11 "kalk" 2 511 -2.569 16.672 1.38629436111989 0.566037735849057 0 0.433962264150943
"8428" 1.14 "silikat" 6 540 -1.789 17.009 4.51085950651685 0.752351097178683 0.247648902821317 0
"7864" 1 "kalk" 4 167 0.952 19.35 1.25276296849537 0.763239875389408 0 0.236760124610592
"7406" 0.4 "kalk" 8 231 -2.2 18.42 2.83321334405622 0.485804416403785 0.514195583596215 0
"7959" 3 "kalk" 2 605 -2.953 16.704 1.50407739677627 0.588785046728972 0.155763239875389 0.255451713395639
"8341" 9 "kalk" 4 277 -2.351 18.007 0.916290731874155 0.84012539184953 0 0.15987460815047
"7958" 18.3 "kalk" 3 960 -3.178 14.475 2.39789527279837 0.350931677018634 0.425465838509317 0.22360248447205
"8378" 24 "kalk" 2 443 -2.43 18.53 1.79175946922805 0.172413793103448 0.492163009404389 0.335423197492163
"8559" 24 "kalk" 3 665 -2.913 16.058 3.25809653802148 0 1 0
"7972" 3.8 "silikat" 4 1180 -3.302 14.83 1.94591014905531 0.520249221183801 0.479750778816199 0
"8375" 3 "kalk" 3 308 -1.661 18.242 1.94591014905531 0.94006309148265 0.0599369085173502 0
"7781" 9 "kalk" 2 516 -1.9 17.2 1.19392246847243 0.715625 0.128125 0.15625
"7746" 10 "kalk" 2 520 -1.9 17.2 1.54756250871601 0.6875 0.15 0.1625
"8217" 17 "kalk" 2 742 -4.4 15.7 1.16315080980568 0.498422712933754 0.318611987381703 0.182965299684543
"8649" 30 "kalk" 2 470 -2.364 16.349 1.6094379124341 0.365625 0.634375 0
"8372" 3 "kalk" 2 446 -2.639 17.402 1.94591014905531 0.658307210031348 0.310344827586207 0.0313479623824451
"9873" 20 "kalk" 4 908 -4.216 13.591 2.91235066461494 0 1 0
"9874" 20 "kalk" 4 889 -4.216 13.591 2.60268968544438 0 1 0
"8687" 5 "kalk" 2 328 -1.978 18.101 2.56494935746154 0.852664576802508 0 0.147335423197492
"8455" 19 "kalk" 2 632 -3.365 14.425 1.09861228866811 0 1 0
"8456" 109 "kalk" 2 453 -2.612 15.996 1.79175946922805 0.261829652996845 0.738170347003155 0
"8433" 25 "kalk" 2 462 -2.896 15.922 1.6094379124341 0.331269349845201 0.668730650154799 0
"8434" 20 "kalk" 2 421 -2.454 16.581 1.79175946922805 0.525157232704403 0.474842767295597 0
"7875" 2 "kalk" 3 201 -1.15 18.95 1.79175946922805 0.620253164556962 0.0822784810126582 0.29746835443038
"7876" 4 "kalk" 3 185 -1.07 19.07 1.6094379124341 0.84472049689441 0.031055900621118 0.124223602484472
"7639" 181 "silikat" 2 1007 -4.1 14.1 1.85629799036563 0.35 0.646875 0.003125
"7758" 2 "kalk" 2 504 -1.7 17.4 1.45861502269952 0.468354430379747 0.104430379746835 0.427215189873418
"7762" 1 "kalk" 2 504 -1.7 17.4 1.66770682055808 0.459627329192547 0.118012422360248 0.422360248447205
"7878" 19 "kalk" 2 367 -3.141 17.346 1.50407739677627 0 0.993769470404984 0.00623052959501558
"7879" 11 "kalk" 2 313 -2.531 18.27 1.38629436111989 0.657232704402516 0.0943396226415094 0.248427672955975
"8085" 126 "silikat" 2 1182 -3.362 13.526 2.39789527279837 0 0.853582554517134 0.146417445482866
"8086" 100 "silikat" 2 1177 -3.355 13.546 1.94591014905531 0 0.874608150470219 0.125391849529781
"8221" 2.5 "kalk" 3 751 -4.4 15.7 1.16315080980568 0.7625 0.121875 0.115625
"7925" 0.7 "silikat" 8 183 -1.389 19.158 3.25809653802148 0 1 0
"8683" 58 "silikat" 2 359 -2.623 17.717 1.38629436111989 0.732919254658385 0.267080745341615 0
"8339" 42.9 "kalk" 2 440 -2.469 16.262 1.6094379124341 0.571875 0.396875 0.03125
"8704" 8 "silikat" 2 577 -3.126 16.458 1.09861228866811 0.780564263322884 0.166144200626959 0.0532915360501567
