"Sediment_type" "Geomorph_type" "Landuse" "order" "cond" "temp" "Elevation" "Depth" "FR" "AGR" "UR"
"PL02S0501_0630" "Sand" "Sinusoidal " "Meadow" 5 725 18.3 53 "120" 0.416149068322981 0.363354037267081 0.220496894409938
"PL02S0501_0694" "Silt/clay" "Naturally straight  " "Meadow" 3 495 18 115.5 "80" 0 0.515625 0.484375
"PL02S0501_0711" "Sand" "Sinusoidal " "Field" 2 429 18 92.1 "15" 0 1 0
"PL02S0501_0853" "Silt/clay" "Sinusoidal " "Barren" 2 479 18 80.4 "85" 0.4875 0.3375 0.175
"PL02S0501_0867" "Sand" "Naturally straight  " "Field" 3 620 18.3 68.1 "48" 0.455108359133127 0.544891640866873 0
"PL02S0501_0873" "Sand" "Naturally straight  " "Forest" 2 1070 18.3 56 "65" 0.526645768025078 0.473354231974922 0
"PL02S0501_0889" "Silt/clay" "Naturally straight  " "Urban" 6 562 18 96.4 "30" 0 0.916149068322981 0.0838509316770186
"PL02S0501_0899" "Sand" "Sinusoidal " "Meadow" 6 556 18 79.9 "175" 0 0.897196261682243 0.102803738317757
"PL02S0501_0900" "Sand" "Sinusoidal " "Field" 6 567 18 71.1 "130" 0.078125 0.63125 0.290625
"PL02S0501_0901" "Sand" "Sinusoidal " "Forest" 6 589 18 70 "150" 0.32398753894081 0.67601246105919 0
"PL02S0501_0904" "Sand" "Sinusoidal " "Barren" 6 649 18 53.8 "100" 0.467084639498433 0.329153605015674 0.203761755485893
"PL02S0501_1665" "Sand" "Meandering regularly " "Barren" 6 459 18 93.3 "70" 0.102803738317757 0.822429906542056 0.0747663551401869
"PL02S0501_1737" "Sand" "Sinusoidal " "Meadow" 3 295.6 19 67 "36" 0.41304347826087 0.58695652173913 0
"PL02S0501_3262" "Sand" "Naturally straight  " "Pond" 3 955 18 69.4 "85" 0.59190031152648 0.367601246105919 0.0404984423676012
"PL02S0501_3264" "Gravel/ small stones" "Naturally straight  " "Pond" 3 679 18.3 66.2 "68" 0.0940438871473354 0.905956112852665 0
"PL02S0501_3281" "Sand" "Sinusoidal " "Meadow" 6 604 18 65.9 "160" 0.216300940438871 0.783699059561129 0
"PL02S0501_3282" "Sand" "Sinusoidal " "Forest" 6 605 18.3 47 "235" 0.515527950310559 0.27639751552795 0.208074534161491
"PL02S0501_3283" "Sand" "Sinusoidal " "Meadow" 6 636 18.3 44 "155" 0.50625 0.36875 0.125
