"Barbatula.quignardi" "Alburnus.alburnus" "Cyprinus.carpio" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Oncorhynchus.mykiss" "Silurus.glanis" "Carassius.auratus" "Lepomis.gibbosus" "Micropterus.salmoides" "Gambusia.holbrooki" "Barbatula.barbatula" "Gobio.gobio" "Esox.lucius" "Tinca.tinca" "Ameiurus.melas"
"CHE-296613" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-301803" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-273832" 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-276738" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-368420" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-304624" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-362961" 0 1 1 0 0 0 0 0 1 0 0 1 0 1 1 0
"CHE-369346" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-301800" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-275544" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-280349" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-276910" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-360062" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"CHE-301574" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-308158" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-367165" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-363812" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-294693" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-277989" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-300540" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-363228" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-361212" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0
"CHE-360678" 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0
"CHE-273389" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-360474" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-359946" 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0
"CHE-291540" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-281438" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-189928" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-301338" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-370341" 1 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0
"CHE-294542" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-280152" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-382167" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-280141" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-307947" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-304400" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-312504" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-367128" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-280057" 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 1
"CHE-105002" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-293208" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-367036" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-359673" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-273141" 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0
"CHE-291143" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-363675" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-104820" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-277970" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-307733" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-105278" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-295396" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-371726" 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-189562" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-301270" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-320742" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-363560" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-366692" 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0
"CHE-294403" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-272732" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-293099" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-104689" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-290863" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-383878" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-294191" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-295278" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
