"Barbatula.quignardi" "Alburnus.alburnus" "Cyprinus.carpio" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Oncorhynchus.mykiss" "Silurus.glanis" "Carassius.auratus" "Lepomis.gibbosus" "Micropterus.salmoides" "Gambusia.holbrooki" "Barbatula.barbatula" "Gobio.gobio" "Esox.lucius" "Tinca.tinca" "Ameiurus.melas"
"CHE-118224" 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-380878" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-332782" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-328963" 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-96106" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-355301" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-340797" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-117493" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-284719" 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0
"CHE-96196" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-270157" 0 1 1 0 0 0 0 1 0 1 0 0 1 0 1 0
"CHE-325430" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-284608" 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-270192" 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 1
"CHE-76618" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-93091" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-341749" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-283076" 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-76124" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-350724" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-356241" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-283047" 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-92864" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-329197" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-36246" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-341016" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-324618" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-333091" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-46017" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-282990" 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0
"CHE-115221" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-95139" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-313483" 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"CHE-115532" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-270040" 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-114820" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-282977" 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 1
"CHE-75861" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-75936" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-33320" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-327947" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-333564" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-313507" 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0
"CHE-40244" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-313619" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-43391" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-342974" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-343162" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-329554" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-333771" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-351432" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-114549" 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-31129" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-270020" 1 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0
"CHE-351560" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-114041" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-343288" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-36625" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-42600" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-334122" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-312574" 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0
"CHE-75381" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-91839" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-343444" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-334298" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-314622" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-75280" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-313873" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-75034" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-31067" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-89917" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-91430" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-36514" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-316215" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-177723" 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"CHE-344505" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-39768" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-260070" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"CHE-260048" 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0
"CHE-249993" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-90246" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-90285" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-74732" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-260080" 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1
"CHE-259922" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-251372" 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-316910" 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0
"CHE-335072" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-345715" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-41515" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-36189" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-113013" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-259831" 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0
"CHE-344932" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-317014" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-335629" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-41388" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-346978" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-248430" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-31961" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-110379" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-347379" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-88964" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-260104" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-40943" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-111804" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-337195" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-317680" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-111578" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-335803" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-260105" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-39199" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-260142" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"CHE-256606" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-260622" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-256883" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-260760" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-262333" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-265291" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-39135" 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-36113" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-107073" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-257065" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-105460" 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-261243" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-262876" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-38015" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-176669" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-107177" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-257317" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-252293" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-70892" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-70500" 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"CHE-109202" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"CHE-257748" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-246777" 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-246756" 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0
"CHE-37938" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-83620" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-257768" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-257936" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-252720" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-85339" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-246416" 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0
"CHE-30760" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-253385" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-245575" 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-70459" 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-245352" 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0
"CHE-245324" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-34568" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-245356" 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"CHE-254220" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-83599" 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-196145" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-174854" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-82180" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-196073" 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0
"CHE-195658" 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-70446" 0 1 1 0 1 0 0 0 0 0 0 1 1 0 0 1
"CHE-29795" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-195711" 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0
"CHE-174731" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-174725" 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-195372" 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"CHE-196383" 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-37307" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-28658" 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-206240" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-206613" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-68796" 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0
"CHE-197164" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-67254" 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1
"CHE-173299" 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0
"CHE-28208" 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"CHE-67249" 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0
"CHE-190846" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-172350" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"CHE-202807" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-172140" 0 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0
"CHE-207367" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-191888" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-172071" 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-228130" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-192295" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-209169" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-237370" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-228018" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-165680" 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0
"CHE-192503" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-12907" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-230265" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-12328" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-227729" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-230327" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-154761" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-236505" 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"CHE-213245" 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"CHE-238550" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-17773" 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1
"CHE-15656" 0 1 1 0 1 0 1 1 1 1 0 0 1 0 0 0
"CHE-18255" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-11769" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-17565" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-127580" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"CHE-127637" 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"CHE-242353" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-20250" 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0
"CHE-18361" 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0
"CHE-20419" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-230765" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-11232" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-234435" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"CHE-156412" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-20451" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-234572" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
"CHE-13889" 0 1 1 1 0 0 1 1 0 1 1 0 1 0 0 0
"CHE-9977" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-9905" 0 1 1 1 0 0 1 1 0 1 1 0 0 0 0 0
"CHE-194655" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-231749" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-10249" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-156578" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-18653" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"CHE-216052" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-234792" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-128674" 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0
"CHE-8727" 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0
"CHE-8780" 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0
"CHE-129014" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-20946" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-169549" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-157529" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-6224" 0 1 1 0 1 0 1 0 0 1 1 0 1 0 0 0
"CHE-21186" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-159994" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-157930" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-160732" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-19491" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-217632" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-19533" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-21783" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-19864" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-161225" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-130326" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-220163" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-4674" 0 0 1 0 1 0 1 1 0 1 1 0 1 0 0 0
"CHE-23969" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-132620" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-218137" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-22014" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-22111" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-22120" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-22231" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-22962" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"CHE-23553" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-142628" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-22425" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-23713" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-133307" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-23217" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-143170" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-219758" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-26060" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-223415" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-134507" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-145601" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"CHE-149934" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-151058" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-147188" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-135451" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-225948" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"CHE-152538" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
