"Abramis.ballerus" "Abramis.bjoerkna" "Abramis.brama" "Alburnoides.bipunctatus" "Alburnus.alburnus" "Aspius.aspius" "Barbatula.barbatula" "Barbus.barbus" "Carassius.carassius" "Carassius.gibelio" "Chondrostoma.nasus" "Cobitis.taenia" "Cottus.gobio" "Cyprinus.carpio" "Esox.lucius" "Eudontomyzon.mariae" "Gobio.gobio" "Gymnocephalus.cernuus" "Lampetra.fluviatilis" "Lampetra.planeri" "Leucaspius.delineatus" "Leuciscus.cephalus" "Leuciscus.idus" "Leuciscus.leuciscus" "Lota.lota" "Misgurnus.fossilis" "Perca.fluviatilis" "Phoxinus.phoxinus" "Pungitius.pungitius" "Rhodeus.amarus" "Romanogobio.vladykovi" "Rutilus.rutilus" "Salmo.trutta.fario" "Salmo.trutta.trutta" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Silurus.glanis" "Thymallus.thymallus" "Tinca.tinca"
"PL02S0401_0664" 0 0 0 0 0 0 0 0 0 0 0 40 0 0 16 0 14 0 0 1 0 12 2 1 0 0 3 0 0 2 0 14 0 0 0 0 0 0 2
"PL02S0401_0665" 0 0 22 0 18 0 0 1 0 0 0 39 0 0 1 0 20 0 0 0 0 0 0 3 0 0 0 0 0 38 0 15 0 0 0 0 0 0 2
"PL02S0401_0666" 0 0 0 0 13 0 0 0 0 0 0 11 0 0 0 0 0 1 0 0 0 0 0 0 0 0 46 0 0 0 0 121 0 0 0 2 0 0 3
"PL02S0401_0669" 0 1 2 0 132 3 1 0 0 0 0 1 0 0 2 0 15 0 0 0 0 6 1 3 6 0 4 0 0 12 0 39 0 0 0 0 0 0 0
"PL02S0401_0677" 0 0 3 0 22 28 0 0 0 0 0 8 0 0 3 0 22 0 0 0 0 2 1 3 8 0 7 0 0 7 0 11 0 0 0 1 0 0 0
"PL02S0401_0678" 0 0 0 0 21 1 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 7 0 0 0 3 0 0 2
"PL02S0401_0682" 0 10 4 0 136 6 0 0 0 0 0 7 0 0 4 0 12 0 0 0 0 6 6 2 6 0 4 0 0 5 0 45 0 0 0 0 1 0 0
"PL02S0401_0692" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 1 0 0 108 0 0 0 10 0 0 0
"PL02S0401_0693" 0 4 4 0 49 0 1 0 1 0 0 12 0 0 1 0 32 0 0 0 0 6 0 1 15 0 4 0 0 6 0 49 0 0 0 1 1 0 0
"PL02S0401_1626" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL02S0401_3208" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 3 1 0 4 0 6 0 0 2 0 8 0 0 0 0 0 0 0
"PL02S0401_3310" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 1 0 0 0 0 0 8 0 0 0 0 0 0
"PL02S0401_3312" 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 639 0 0 0 0 0 0 0 0 0 7 0 0 0 0 150 1 0 0 0 0 0 4
"PL02S0401_3313" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 2 0 0 0 0 1 0 1 1 0 2 0 0 4 0 17 0 0 0 0 0 0 0
"PL02S0501_0576" 0 44 0 0 2 0 0 0 6 46 0 6 0 0 0 0 0 0 0 0 0 0 0 2 0 15 2 0 0 0 0 8 0 0 0 0 0 0 6
"PL02S0501_0585" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0
"PL02S0501_0587" 0 0 0 0 0 0 5 2 0 4 0 5 0 0 0 0 74 0 0 1 0 66 0 141 0 0 32 0 0 4 0 19 5 0 0 0 0 0 0
"PL02S0501_0612" 0 0 3 0 65 0 0 0 0 6 0 3 0 0 6 0 28 0 0 0 0 14 15 15 0 0 0 0 0 9 0 15 0 0 0 0 3 0 0
"PL02S0501_0613" 0 16 0 0 34 1 0 0 0 0 0 1 0 0 1 0 96 0 0 0 0 30 3 5 0 0 3 0 0 59 0 72 0 0 0 1 0 0 0
"PL02S0501_0630" 0 0 0 0 26 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 0 0 0 0 8 0 0 4 0 6 0 0 0 0 0 0 4
"PL02S0501_0694" 0 0 0 0 0 0 0 0 0 0 0 22 0 0 3 0 30 2 0 0 0 0 0 0 0 0 12 0 0 0 0 58 0 0 0 0 0 0 2
