"CCall" "CCin" "CCout" "BCdir" "BCund"
"CHE-373605" 0.0092398625058 0.000244080947762 0.000252306044649 6.74875954749168 10.1097697467749
"CHE-362099" 0.010599537982108 0.000243724104314 0.000251324492944 0 0
"CHE-373534" 0.009325758144124 0.000244200069748 0.00025224458944 7.02908756414966 10.396963537967
"CHE-297571" 0.011241281977501 0.000243724104314 0.000250529703588 0 0
"CHE-282069" 0.013056583834918 0.000243724104314 0.000249676507017 0 0
"CHE-274427" 0.013063403045155 0.000243724104314 0.000249676507017 0 0
"CHE-373214" 0.009413179369028 0.000244917309062 0.000252183148657 7.93773177526011 11.3112987571183
"CHE-281186" 0.012261319750828 0.000243724104314 0.000249980894927 0 0
"CHE-295159" 0.011622833115157 0.000243724104314 0.000250346637327 0 0
"CHE-361800" 0.010599537982108 0.000243724104314 0.000251324492944 0 0
"CHE-281173" 0.012413488396021 0.00024384296513 0.000249919988439 5.33271879326537 9.012133305952
"CHE-364587" 0.011060240833913 0.00024384296513 0.00025107968242 5.50125821054473 9.012133305952
"CHE-360340" 0.010822876320539 0.000243724104314 0.000251202058804 0 0
"CHE-274595" 0.013063403045155 0.000243724104314 0.000249676507017 0 0
"CHE-389580" 0.008286952393459 0.000245397040686 0.000253106274833 8.37586001529959 11.6448305358502
"CHE-282775" 0.012888833029598 0.000243724104314 0.000249737355692 0 0
"CHE-297388" 0.011499634153521 0.000244558163527 0.000250407644966 7.34923082461333 10.9554623583529
"CHE-297899" 0.011117555547124 0.000243961912918 0.00025059075457 6.12468339089421 9.70479268162423
"CHE-274327" 0.01323627164366 0.00024384296513 0.000249615672797 5.28320372873799 9.012133305952
"CHE-282626" 0.013057082560105 0.00024384296513 0.000249676507017 5.29330482472449 9.012133305952
"CHE-297365" 0.011499634153521 0.000244558163527 0.000250407644966 7.34923082461333 10.9554623583529
"CHE-274206" 0.013236784190723 0.000244200098823 0.000249615672797 6.66568371778241 10.396963537967
"CHE-280936" 0.012728970976581 0.000244080947762 0.000249798218821 6.4085287910595 10.1097697467749
"CHE-295852" 0.01249269077088 0.000243961912918 0.000249980894927 6.0330862217988 9.70479268162423
"CHE-360317" 0.010941263393179 0.00024384296513 0.000251140863392 5.50938833662798 9.012133305952
"CHE-297236" 0.0116324574488 0.000244677635128 0.000250346637327 7.47363710849621 11.0881552058041
"CHE-281913" 0.013229270809817 0.00024384296513 0.000249615672797 5.28320372873799 9.012133305952
"CHE-371131" 0.009739673856265 0.000243724104314 0.000251937529811 0 0
"CHE-274168" 0.013236784190723 0.000244200098823 0.000249615672797 6.66568371778241 10.396963537967
"CHE-274162" 0.013413601300158 0.000244438721143 0.000249554853033 7.0604763659998 10.8017772333007
"CHE-372384" 0.009412574575493 0.000244080976809 0.000252183148657 6.73459165997295 10.1099324542273
"CHE-282622" 0.013057082560105 0.00024384296513 0.000249676507017 5.29330482472449 9.012133305952
"CHE-281762" 0.013406411676847 0.000243961912918 0.000249554853033 5.96357934361845 9.70479268162423
"CHE-275604" 0.011995625193737 0.000243724104314 0.000250102751258 0 0
"CHE-282284" 0.013406586941814 0.000244080947762 0.000249554853033 6.36818718635049 10.1097697467749
"CHE-280745" 0.012892559905459 0.000244319366271 0.000249737355692 6.90875477931522 10.6199117100006
"CHE-282333" 0.013229270809817 0.000243724104314 0.000249615672797 0 0
"CHE-274025" 0.013594845757162 0.000244558105205 0.000249494047724 7.20414929203594 10.9551130499799
"CHE-364448" 0.011060121548093 0.000243724104314 0.00025107968242 0 0
"CHE-302423" 0.010938433313423 0.000243961912918 0.000250712899869 6.14203740558736 9.70479268162423
"CHE-362413" 0.010714183102307 0.000245037190457 0.000251263268655 7.91971976092457 11.4062529779431
"CHE-372352" 0.009501726849675 0.000245397686633 0.000252121722302 8.26693534761046 11.6458816922189
"CHE-361711" 0.010713063826564 0.00024384296513 0.000251263268655 5.52545293913178 9.012133305952
"CHE-292556" 0.011883517196626 0.000243724104314 0.000250224665393 0 0
"CHE-292142" 0.01202611619773 0.000243724104314 0.000250163701101 0 0
"CHE-275184" 0.012750019426529 0.000246119005679 0.000249798218821 8.30424746507847 11.9985563501017
"CHE-274908" 0.013242253830311 0.000243724104314 0.000249615672797 0 0
"CHE-275022" 0.013076729351232 0.000246360329429 0.000249676507017 8.37953902611744 12.0928815507572
"CHE-275419" 0.012288206676732 0.000245636950025 0.000249980894927 8.11042723757502 11.7773798513027
"CHE-295562" 0.01249269077088 0.000243961912918 0.000249980894927 6.0330862217988 9.70479268162423
"CHE-296774" 0.01204886516844 0.000245156632497 0.000250163701101 7.85127199710988 11.4916609696655
"CHE-370908" 0.010133799754931 0.000244200069748 0.000251692141855 6.96318998587024 10.396963537967
"CHE-276381" 0.011584396365968 0.000243961912918 0.000250285644135 6.07993319509559 9.70479268162423
"CHE-274818" 0.013419920501202 0.000246602008285 0.000249554853033 8.44612674298238 12.1789069774574
"CHE-275591" 0.011997589952676 0.000245396688353 0.000250102751258 7.99598047476376 11.6448305358502
"CHE-367416" 0.010773048993474 0.000244080947762 0.000251263268655 6.62140565176413 10.1097697467749
"CHE-360207" 0.011062149757021 0.000243961912918 0.00025107968242 6.19236248947487 9.70479268162423
"CHE-281617" 0.013588180734067 0.000244438750276 0.000249494047724 7.05012252026906 10.8019401262804
"CHE-362287" 0.010714183102307 0.000245037190457 0.000251263268655 7.91971976092457 11.4062529779431
"CHE-302238" 0.011182413460333 0.000244200069748 0.00025059075457 6.81673588059497 10.396963537967
"CHE-362705" 0.01038165620571 0.000243961912918 0.000251446984837 6.24027584517077 9.70479268162423
"CHE-364227" 0.011309996470796 0.000244080947762 0.0002509573638 6.58063913728495 10.1097697467749
"CHE-280500" 0.01340798922654 0.000244677518371 0.000249554853033 7.34794382314869 11.0881552058041
"CHE-276104" 0.011719866058674 0.000245156779015 0.000250224665393 7.86057078553866 11.4923961737177
"CHE-388261" 0.008638590195558 0.000246482960949 0.000252798205589 8.8394216076206 12.1368404596955
"CHE-302061" 0.010937733313424 0.000243724104314 0.000250712899869 0 0
"CHE-301946" 0.011058660505593 0.00024384296513 0.000250651819997 5.44241771052179 9.012133305952
"CHE-364127" 0.011309996470796 0.000244080947762 0.0002509573638 6.58063913728495 10.1097697467749
"CHE-362928" 0.010601181584647 0.000244319278959 0.000251324492944 7.13966033596492 10.6196185694864
"CHE-304862" 0.010844134729518 0.00024384296513 0.000250773994187 5.45958551414416 9.012133305952
"CHE-296647" 0.012194034376356 0.000245276543024 0.000250102751258 7.9218984110238 11.5712132408407
"CHE-291906" 0.01232227772888 0.000244200127898 0.000250041815867 6.73459165997295 10.3972077083992
"CHE-361686" 0.010828933474129 0.000245277247001 0.000251202058804 8.07868822922987 11.571628241224
"CHE-296613" 0.012342595796537 0.000245396541548 0.000250041815867 7.986504938554 11.6448305358502
"CHE-301803" 0.011182169591695 0.000243961912918 0.00025059075457 6.12468339089421 9.70479268162423
