"Abramis.ballerus" "Abramis.bjoerkna" "Abramis.brama" "Alburnoides.bipunctatus" "Alburnus.alburnus" "Aspius.aspius" "Barbatula.barbatula" "Barbus.barbus" "Carassius.carassius" "Carassius.gibelio" "Chondrostoma.nasus" "Cobitis.taenia" "Cottus.gobio" "Cyprinus.carpio" "Esox.lucius" "Eudontomyzon.mariae" "Gobio.gobio" "Gymnocephalus.cernuus" "Lampetra.fluviatilis" "Lampetra.planeri" "Leucaspius.delineatus" "Leuciscus.cephalus" "Leuciscus.idus" "Leuciscus.leuciscus" "Lota.lota" "Misgurnus.fossilis" "Perca.fluviatilis" "Phoxinus.phoxinus" "Pungitius.pungitius" "Rhodeus.amarus" "Romanogobio.vladykovi" "Rutilus.rutilus" "Salmo.trutta.fario" "Salmo.trutta.trutta" "Sander.lucioperca" "Scardinius.erythrophthalmus" "Silurus.glanis" "Thymallus.thymallus" "Tinca.tinca"
"PL02S0401_0664" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1
"PL02S0401_0665" 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1
"PL02S0401_0666" 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1
"PL02S0401_0669" 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0
"PL02S0401_0677" 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0
"PL02S0401_0678" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1
"PL02S0401_0682" 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0
"PL02S0401_0692" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"PL02S0401_0693" 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0
"PL02S0401_1626" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"PL02S0401_3208" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0
"PL02S0401_3310" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
