"Anguilla_a" "Carassius" "Gasteroste" "Lepomis_gi" "Babka_gymn" "Ponticola" "Neogobius" "Oncorhyn_1" "Pseudorasb" "Salvelinus"
"8563" 0 0 0 0 0 0 0 1 0 0
"8457" 0 0 0 0 0 0 0 1 0 0
"8382" 0 0 0 0 0 0 0 1 0 0
"8383" 0 0 0 0 0 0 0 0 0 0
"8083" 0 0 0 0 0 0 0 0 0 0
"8543" 0 0 0 0 0 0 0 0 0 0
"8702" 0 0 0 0 0 0 0 0 0 1
"7924" 0 0 1 0 0 0 0 0 0 0
"7663" 0 0 0 0 0 0 0 0 1 1
"8471" 0 0 0 0 0 0 0 0 1 0
"8695" 0 0 0 0 0 0 0 0 0 0
"8693" 0 0 0 0 0 0 0 0 0 0
"8508" 0 0 0 0 0 0 0 1 0 0
"8507" 0 0 0 0 0 0 0 1 0 0
"7907" 0 0 0 0 0 0 0 1 0 1
"8540" 0 0 0 0 0 0 0 0 0 0
"8656" 0 0 0 0 0 0 0 0 1 0
"8099" 0 0 0 0 0 0 0 0 0 0
"8254" 0 0 0 0 0 0 0 0 0 0
"7776" 1 0 0 0 0 0 0 1 0 0
"7936" 0 0 0 0 0 0 0 1 0 0
"7965" 0 0 0 0 0 0 0 0 0 0
"7858" 0 0 0 0 0 0 0 0 0 0
"8565" 0 0 0 0 0 0 0 0 0 0
"8700" 0 0 0 0 0 0 0 0 0 0
"8222" 0 0 0 0 0 0 0 0 1 0
"8684" 0 0 0 0 0 0 0 0 0 0
"8317" 0 0 0 0 0 0 0 0 0 0
"8056" 0 0 0 0 0 0 0 0 0 0
"8057" 0 0 0 0 0 0 0 0 0 0
"8564" 0 0 0 0 0 0 0 0 0 0
"8391" 0 0 0 0 0 0 0 0 0 0
"8435" 0 0 0 0 0 0 0 1 0 1
"8436" 0 0 0 0 0 0 0 0 0 0
"8255" 0 0 0 0 0 0 0 0 0 0
"8655" 0 0 0 0 0 0 0 1 0 0
"8224" 0 0 0 0 0 0 0 0 1 0
"8574" 0 0 0 0 0 0 0 0 0 0
"8387" 0 0 0 0 0 0 0 1 0 0
"8691" 0 0 0 0 0 0 0 1 0 0
"8388" 0 0 0 0 0 0 0 0 0 0
"8245" 0 0 0 0 0 0 0 1 0 1
"8431" 0 0 0 0 0 0 0 0 0 0
"8572" 0 0 0 0 0 0 0 1 0 0
"8389" 0 0 0 0 0 0 0 0 1 0
"8394" 0 0 1 0 0 0 0 0 1 0
"7910" 0 0 0 0 0 0 0 0 0 0
"7783" 0 0 0 0 0 0 0 0 1 0
"7871" 0 0 0 0 0 0 0 0 0 0
"8397" 0 0 0 0 0 0 0 0 0 0
"7661" 0 0 0 0 0 0 0 0 0 0
"8542" 0 0 0 0 0 0 0 0 0 1
"8533" 0 0 0 0 0 0 0 0 0 0
"8510" 0 0 0 0 0 0 0 1 0 0
"7872" 0 0 0 0 0 0 0 0 0 0
"7985" 0 0 0 1 0 0 0 1 1 0
"8701" 0 0 0 0 0 0 0 1 0 0
"7877" 0 0 1 0 0 0 0 0 0 0
"8449" 0 0 1 0 0 0 0 1 0 0
"8575" 0 0 0 0 0 0 0 0 0 1
"7908" 0 0 0 0 0 0 0 1 0 1
"7909" 0 0 0 0 0 0 0 1 0 1
"7803" 0 0 0 0 0 0 0 0 0 0
"7884" 0 0 1 0 0 0 0 0 0 0
"8381" 0 0 0 0 0 0 0 1 0 0
"7881" 0 0 0 0 0 0 0 0 0 0
"8696" 0 0 0 0 0 0 0 0 0 0
"8220" 0 0 0 0 0 0 0 0 0 0
"8685" 0 0 0 0 0 0 0 0 0 0
"8464" 0 0 0 0 0 0 0 0 0 0
"8465" 0 0 0 0 0 0 0 0 0 0
"7859" 0 0 0 0 0 0 0 0 1 0
"7926" 0 0 0 0 0 1 1 0 0 0
"8524" 0 0 0 0 0 0 0 0 0 0
"8462" 0 0 1 0 0 0 0 0 0 0
"8716" 0 0 0 0 0 0 0 0 0 0
"8133" 0 0 0 0 0 0 0 0 0 0
"8134" 0 0 0 0 0 0 0 0 0 0
"8234" 0 0 0 0 0 0 0 0 0 1
"7744" 0 0 0 0 0 0 0 1 0 0
"8706" 0 0 0 0 0 0 0 0 0 0
"8869" 0 0 0 0 0 0 0 0 0 0
"7889" 0 0 0 0 0 0 0 0 0 0
"7810" 0 0 0 0 0 0 0 1 0 0
"8586" 0 0 0 0 0 0 0 0 0 0
"8238" 0 0 0 0 0 0 0 0 0 0
"8237" 0 0 0 0 0 0 0 0 0 0
"8720" 0 0 0 0 0 0 0 0 0 0
"8719" 0 0 0 0 0 0 0 0 0 1
"8712" 0 0 0 0 0 0 0 0 1 0
"8235" 0 0 0 0 0 0 0 0 0 0
"8495" 0 0 0 0 0 0 0 0 0 0
"8236" 0 0 0 0 0 0 0 1 0 1
"8705" 0 0 0 0 0 0 0 0 0 0
"7807" 0 0 0 0 0 0 0 1 0 0
"7927" 0 0 1 0 0 1 0 0 0 0
"9698" 0 0 0 0 0 0 0 0 0 0
"7765" 0 0 0 0 0 0 0 1 0 0
"7888" 0 0 0 0 0 0 0 0 1 0
"7915" 0 0 0 0 0 0 0 0 0 0
"7916" 0 0 0 0 0 0 0 0 0 0
"8135" 0 0 0 0 0 0 0 0 0 0
"8136" 0 0 0 0 0 0 0 0 0 1
"8323" 0 0 0 0 0 0 0 0 0 0
"8124" 0 0 0 0 0 0 0 0 0 0
"8463" 0 0 0 0 0 0 0 0 0 0
"8242" 0 0 0 0 0 0 0 1 0 0
"8243" 0 0 0 0 0 0 0 0 0 0
"8225" 0 0 0 0 0 0 0 0 0 0
