"Geology" "Gem_typ" "LUses" "order" "elev" "Cond_Gl" "Dischrg" "Mn_Ar_T" "AGR" "FR" "UR"
"CHE-296774" "Calcareous" "Straight" "Shrubs" 4 708 5 2e-05 80.08321 0.0434782608695652 0.956521739130435 0
"CHE-370908" "Sediments" "Straight" "Agriculture" 3 625 2.92414 0 49.21629 0 1 0
"CHE-276381" "Shales" "Straight" "Forest_Plantation" 3 588 1 1e-05 59.27891 0 0.949367088607595 0.0506329113924051
"CHE-274818" "Sediments" "Straight" "Pasture" 4 431 2 2e-05 65.82357 0.811912225705329 0.181818181818182 0.00626959247648903
"CHE-275591" "Sediments" "Sinuous" "Pasture" 4 477 1.94527 0.00389 55.24087 0.65615141955836 0.220820189274448 0.123028391167192
"CHE-367416" "Shales" "Straight" "Agriculture" 3 587 3.89655 0.00031 48.67361 0.551724137931034 0.448275862068966 0
"CHE-360207" "Calcareous" "Sinuous" "Pasture" 3 534 3 5e-04 42.47646 0.442006269592476 0.479623824451411 0.0783699059561129
"CHE-281617" "Sediments" "Straight" "Forest_NoConif" 4 485 1.51259 0.00248 71.98145 0.391167192429022 0.608832807570978 0
"CHE-362287" "Sediments" "Sinuous" "Forest_NoConif" 4 529 2.73627 0.00146 33.63034 0.274143302180685 0.725856697819315 0
"CHE-302238" "Sandstones" "Sinuous" "Pasture" 3 867 2.83951 0.00108 72.53701 0 1 0
"CHE-362705" "Shales" "Straight" "Pasture" 3 584 3.229165 0.00019 24.13181 0.594339622641509 0.405660377358491 0
"CHE-364227" "Sediments" "Straight" "Forest_NoConif" 3 598 2.67575 0.00071 40.62883 0.584375 0.415625 0
"CHE-280500" "Sediments" "Straight" "Forest_NoConif" 4 497 1.657145 0.00135 68.1228 0.407523510971787 0.592476489028213 0
"CHE-276104" "Sediments" "Sinuous" "HumidAreas" 4 497 1.76542 0.00311 52.75136 0.689655172413793 0.19435736677116 0.115987460815047
"CHE-388261" "Sediments" "Straight" "Forest_NoConif" 4 795 3 0 46.31364 0.0940438871473354 0.905956112852665 0
"CHE-302061" "Sandstones" "Straight" "Urban" 2 941 1 4e-04 86.80195 0 1 0
"CHE-301946" "Sandstones" "Straight" "Forest_Conif" 3 884 1 2e-05 76.66266 0 1 0
"CHE-364127" "Sediments" "Sinuous" "Agriculture" 3 569 3.066665 0.00081 47.97623 0.639240506329114 0.34493670886076 0.0158227848101266
"CHE-362928" "Sediments" "Straight" "Agriculture" 3 549 2.335195 5e-04 30.58152 0.8801261829653 0.1198738170347 0
"CHE-304862" "Shales" "Straight" "Pasture" 3 1279 4 0.00034 93.30146 0 1 0
