"LCBD_repl" "LCBD_rich" "LCBD_D"
"PL02S0101_0326" 0.00650544691364254 0.0047948498031345 0.00550590374807156
"PL02S0101_0419" 0.00619720052932046 0.00483352246906747 0.00534369670676543
"PL02S0101_0420" 0.00666203420610987 0.00804499957629456 0.00695929332516994
"PL02S0101_0450" 0.00811868380244235 0.0044028410832343 0.00598611054626337
"PL02S0101_0490" 0.00676165180378783 0.00480692310941034 0.00548898455559208
"PL02S0101_0491" 0.00725937115266998 0.00460808489140959 0.00565659199199684
"PL02S0101_0493" 0.00679742249730225 0.0047866887515787 0.00558062043755901
"PL02S0101_0494" 0.00598149321290192 0.00475141498001469 0.00518436396249892
"PL02S0101_0495" 0.000725142658375538 0.00880306759745675 0.00613504434424766
"PL02S0101_0566" 0.00699045898448233 0.00475940157700481 0.00562279532565048
"PL02S0101_0567" 0.00588025606721077 0.00492055735252219 0.00525887413366677
"PL02S0101_0571" 0.0048364659512914 0.00574036637904708 0.0057891423557875
"PL02S0101_0573" 0.00613337819954413 0.00805631638774737 0.00692476551996789
"PL02S0101_0574" 0.00615489653738752 0.00510166052245582 0.00573546172385281
"PL02S0101_0576" 0.00908833860183599 0.00429924006670783 0.00641805284585715
"PL02S0101_1519" 0.00583123089055102 0.00464493290811938 0.00522176910186473
"PL02S0101_1521" 0.00369800584065393 0.00545009379502367 0.00513076080616874
"PL02S0101_1554" 0.00764395297897004 0.00462133091136848 0.00584943910486831
"PL02S0101_3054" 0.00657814143103027 0.00455681115657193 0.00545235735148652
"PL02S0101_3154" 0.00611228563547772 0.00491225203253729 0.0053058472243339
"PL02S0101_3156" 0.00511333003993318 0.00573556629499368 0.00583992164058885
"PL02S0101_3317" 0.00810945490299976 0.00441845987125281 0.00595312050635645
"PL02S0101_3382" 0.00470196221184462 0.00578627349313759 0.00570311609171425
"PL02S0201_0585" 0.00859085425529349 0.00476936799682608 0.00634529160277216
"PL02S0201_3338" 0.00874176236474361 0.00457131990224287 0.00650515368520417
"PL02S0401_0602" 0.0013943809373774 0.00839215312047386 0.00511947789570974
"PL02S0401_0616" 0.00099911932460145 0.00809686236572097 0.00497268949266092
"PL02S0401_0638" 0.00163949408973343 0.00837092643750915 0.00518658068842361
"PL02S0401_0661" 0.00448915342169321 0.00621114684926147 0.00523164223545197
"PL02S0401_0662" 0.00177692708377165 0.0080140535638512 0.00515320424409045
"PL02S0401_0664" 0.00551132951093363 0.00503329032280707 0.00514392825236
"PL02S0401_0665" 0.00730335895409145 0.00466036913347064 0.00564085015596509
"PL02S0401_0666" 0.0078639680641395 0.00432356121030712 0.00594025481007266
"PL02S0401_0669" 0.00324521687929117 0.00671880058118114 0.00495613426990615
"PL02S0401_0677" 0.00413669035462116 0.00621530210739722 0.00504851877213724
