"dbMEM.1" "dbMEM.2" "dbMEM.3" "dbMEM.4" "dbMEM.5" "dbMEM.6" "dbMEM.7" "dbMEM.8" "dbMEM.9" "dbMEM.10" "dbMEM.11" "dbMEM.12" "dbMEM.13" "dbMEM.14" "dbMEM.15" "dbMEM.16" "dbMEM.17" "dbMEM.18" "dbMEM.19" "dbMEM.20" "dbMEM.21" "dbMEM.22" "dbMEM.23" "dbMEM.24" "dbMEM.25" "dbMEM.26" "dbMEM.27" "dbMEM.28" "dbMEM.29" "dbMEM.30" "dbMEM.31" "dbMEM.32" "dbMEM.33" "dbMEM.34" "dbMEM.35" "dbMEM.36" "dbMEM.37" "dbMEM.38" "dbMEM.39" "dbMEM.40" "dbMEM.41" "dbMEM.42" "dbMEM.43" "dbMEM.44" "dbMEM.45" "dbMEM.46" "dbMEM.47" "dbMEM.48" "dbMEM.49" "dbMEM.50" "dbMEM.51" "dbMEM.52" "dbMEM.53" "dbMEM.54" "dbMEM.55" "dbMEM.56" "dbMEM.57" "dbMEM.58" "dbMEM.59" "dbMEM.60" "dbMEM.61" "dbMEM.62" "dbMEM.63" "dbMEM.64" "dbMEM.65" "dbMEM.66" "dbMEM.67" "dbMEM.68" "dbMEM.69" "dbMEM.70" "dbMEM.71" "dbMEM.72" "dbMEM.73" "dbMEM.74" "dbMEM.75" "dbMEM.76" "dbMEM.77" "dbMEM.78" "dbMEM.79" "dbMEM.80" "dbMEM.81" "dbMEM.82" "dbMEM.83" "dbMEM.84" "dbMEM.85" "dbMEM.86" "dbMEM.87" "dbMEM.88" "dbMEM.89" "dbMEM.90" "dbMEM.91" "dbMEM.92" "dbMEM.93" "dbMEM.94" "dbMEM.95" "dbMEM.96" "dbMEM.97" "dbMEM.98"
"CHE-373605" -0.0904824457350996 0.908298078601211 -1.01475870471165 -0.229141464274415 0.104877208039571 -1.08619955578635 1.52232876649298 -0.736344997414514 -3.67608833502523 -0.512157543414009 0.029849893214179 -0.0335582126181037 -1.92890429032441 -1.29682217299123 -2.27737424595013 -2.02641973358782 1.28527457341649 1.72692925898973 -0.269587241571962 -0.761644882747673 1.91199522588349 1.49059058260095 0.932852879705995 -1.02030106213683 -2.70620174209434 -0.20863804587363 2.56603823181331 0.478868066536943 4.24733975095376 -1.63479255959397 -0.377232529893341 1.35425561930385 -1.18399701153945 0.122253935869939 2.35003293237679 3.4506273022257 1.02395356339715 0.192358948512065 0.616641017060653 0.109018545491183 -0.528575452343475 1.14332595884559 1.29793038188666 0.646514081894178 -1.17126661003954 0.180016723818307 0.0637085462425116 0.56515848648589 0.46248139708691 0.358139668822747 0.0615247722898394 0.762369896745131 -0.565252176895519 -0.0695781167862485 -0.43967867325117 -0.390901719018107 -0.305975637447191 0.281692086234767 -0.0905963150019066 0.189007748520351 0.204075321655084 0.344884693041871 0.074809354399817 0.227584593671805 -0.353388610159473 0.0506754045816013 -0.213769286591583 0.25640914237325 -0.0899920281345841 -0.0131172694586914 -0.107410529228733 0.124285538259671 -0.052761364217875 0.244439577526069 0.363044367816559 0.135942452123549 0.000822616536946476 0.324846890738881 0.00753191658626154 0.683893238537812 0.364391396405481 -0.183926062441933 0.388809769499457 2.78281761784366 1.75561182596383 -5.66140367738737 -1.43591567135625 -0.462217956731792 -0.0538861637158773 -0.152046009284032 -0.241896743862565 -0.185707265737068 0.0821924797145431 3.47236515576716e-05 -0.173963932987861 0.0386278868558682 0.0887474235222806 0.0647782548212778
"CHE-362099" -0.123095927247531 1.38041329293616 -1.55212792291262 -0.621985721603398 0.186494602464344 -1.37281365023517 0.681248301430898 -0.350770452004334 -2.05254411009605 -0.153931957944357 -0.118738319626167 -0.102561656787382 -0.370706581276011 -0.257190535087581 -0.356725974523487 1.39853600411098 1.47711988697639 -1.68547750719074 0.830615459771416 0.706212326629332 0.073896886268641 -0.74449904080526 0.24249887051928 1.46810310440311 0.632417427103435 0.221158290464724 0.877957198165374 -0.737770303668648 -0.459621236879555 -0.0597312370592723 -0.31430427898152 0.34239795689593 -0.618391051864653 0.183330418606771 -0.261902181358159 -0.268122562339206 0.24846838413123 -0.729191792421591 1.26978200707326 -0.414597621894393 0.645662329224238 -1.27206200842416 -0.0810528056305411 0.701536108230851 0.710627672238673 -0.255328082744859 -0.472454878252904 0.405594958417294 1.46750029448532 0.00424463744891445 0.220823323913082 0.57090157278547 0.727041764088078 0.192179849330242 0.185208880696647 0.0107876682570123 -0.328227468155347 0.0624925275399002 0.529264426398104 -0.0584611179876947 0.535706003965878 0.564005328285512 -0.0182080328899282 0.30248782849478 -0.309321266021131 0.205347590298717 0.299481860888133 -0.338292314549185 -0.360639301721612 -0.0227470633125039 -0.345634956762412 0.774527195715448 -0.549569407035701 0.00405103097962783 -0.123466903214128 -0.301107322170062 -0.0548936925868846 0.378862086441534 -0.113632311613157 -0.69190951719372 -0.112834435288491 0.116107459278858 0.306213202133765 -0.0576639852255807 0.183050440860322 -0.251350565061346 0.60486300009624 -0.28616886089428 0.360417560524141 -0.242393729493608 0.279519033406172 1.54863060991786 0.44003596962111 -0.397004631090467 1.38712043023649 0.668055936848849 0.128926199698049 0.128451846192536
"CHE-373534" -0.0905859151978635 0.909903153839688 -1.01670435747952 -0.230367208357002 0.10526178375628 -1.08880983403654 1.52248302120763 -0.736738054954895 -3.67932124348835 -0.511959008404091 0.0298401746179598 -0.0342304832709024 -1.92762761395284 -1.29574847935958 -2.27380189503637 -2.02658858351612 1.27849997611 1.73306353702443 -0.270235697443806 -0.760681739608635 1.91334329797499 1.48948264750101 0.937267111661173 -1.01051089532027 -2.71532537941331 -0.218398597098668 2.56877295869772 0.483824736831814 4.26281369002343 -1.64273203407051 -0.379866378671469 1.3625389980332 -1.18447582748505 0.126674147859342 2.36902797127065 3.46844403586623 1.02957815064085 0.19280163703512 0.626506734587399 0.110374182481396 -0.533514356717768 1.14293924819128 1.30301023960579 0.651119282418095 -1.16793244883504 0.178791975602226 0.0622217483738546 0.566643843538843 0.464734629639902 0.360255184010932 0.0629192569167192 0.767762172476961 -0.563222669717593 -0.0687563647580627 -0.43864675898324 -0.389333311583347 -0.306708631759282 0.281947696224742 -0.0880680202320614 0.189505583814381 0.205889167423683 0.346786781864171 0.0743854011081522 0.227841044228622 -0.355176145283085 0.0507742298678838 -0.215487689575368 0.255582993801996 -0.0879534781797519 -0.0132216145780234 -0.106772609618223 0.125049223137921 -0.0541254949834534 0.246614902312976 0.362060552534265 0.134339013780362 0.00126221316110867 0.330086135474003 0.00661062871752434 0.690288930318697 0.369925288598987 -0.183355877678428 0.395712471182142 2.79510638531614 1.76802857915328 -5.69008967433653 -1.43860380506641 -0.465544472954953 -0.0507645696318742 -0.1570038182244 -0.239010545524796 -0.185789944404594 0.0813242411800126 -0.00100790573792861 -0.176190611052352 0.0409184384714698 0.0873701465351716 0.0671789083500792
"CHE-297571" -0.860720457128612 -1.52327334927265 -1.08459784227126 0.111447435421059 -0.0350771249082417 0.853044799364848 -0.0997602676026254 -1.75920498137153 -0.25759603383052 0.154265272715815 -0.648236646734591 0.165969058262213 -0.435416188656889 0.406480514607788 0.714397231745551 0.856169318090584 -0.11125582320662 0.0362398390917684 -0.883310207818747 -0.398637192998991 -1.28339686050348 0.0345360539826159 0.592369965668122 0.225441178142208 -1.25653790876326 -0.99814076835489 0.545184706086472 -1.07931572383829 0.24556153283377 0.0351008286636177 0.309249170844725 -0.468892141307432 0.891126456615498 -0.48209816281357 -1.20342858533777 -0.480274886339624 2.22497071351296 -0.945233096403014 0.464193922213821 0.216831939045197 0.0564774216128891 1.9438809107016 -0.942284694073686 -1.38970349336333 0.81132963247775 0.0274295393539848 0.083683914334866 -0.332346881006578 0.932517766058465 -0.343978442678482 0.251440551741826 -0.0581417006138873 -0.47942484421495 -0.0536880614742369 -0.433816400470939 0.435766241869156 0.395059217360035 0.577281083252647 0.242364454291786 -0.540464830486346 -0.800565602882839 -0.125448288014474 0.174899792824813 0.795959555890537 -1.13284754642845 0.251905060227732 0.192830659997756 0.6663558529673 -1.19407825006697 0.36681587474672 0.657280411435609 -0.110069231766682 -0.151448905679705 0.0180316005410942 0.104637866330399 -0.167335074985234 0.119098819153456 -0.250420642563358 -0.503494095217864 0.16401210768023 0.426655877010937 0.135559909430418 -0.0183505895961233 -0.345727165927648 0.128575862209408 -0.0562003137944207 -0.154484889056515 0.273110649107226 0.299796099122439 -0.166808331468753 -0.289016538351037 -0.164665995365659 -0.352792228758167 0.0691763655520634 0.186438485207159 0.445583424385802 -0.321350038221047 -0.216173622095778
"CHE-282069" -1.10363284397912 -1.67135352426337 -0.75409176028227 -0.141855521425516 0.041563371772947 -0.0580159198722016 -0.227683669085381 0.269949237414401 0.259690700613818 0.0602562879551281 1.76465568006195 -0.019726697804169 -0.0855552279255021 -0.277688606664962 -0.572666841063877 -1.25716689613952 0.329117446664145 -0.741679202958346 0.74449228618778 -0.161950019790258 -1.46407487609519 -0.0704713977167617 -1.35743778999827 0.796540406926306 -0.851595385657826 0.725748070115117 0.387634823482225 0.4205894919973 0.938162882137656 -0.348580906974323 -0.781782098767979 -0.261042008937263 0.92448395930452 -0.290699563861897 1.18784965701908 -1.61087058606035 0.273058777644526 0.871632841412255 0.943719566594175 0.34266307595152 -0.119601028623004 -1.4286193084091 -0.590620030525956 -1.34065529610519 -0.140127882494568 -0.0511874383957362 -0.312181090024542 0.415929588513563 0.404499887351791 -0.926024690426619 -0.895966220562738 0.861859802252619 -0.261975909968328 -0.033160545402173 -0.158016388241537 0.560061329524908 -0.196803464149993 0.282692504373351 -0.376128786938038 0.500293208524863 0.216434749234292 1.1491375445047 0.22614787084685 -0.474000558181162 0.452236253563417 -0.579401751341303 -1.1623717789792 1.66652957240405 0.191426122074619 0.409771373744288 0.036612738005542 0.413069024134166 -0.384419494750069 0.179124381453091 0.262341824220859 -0.789609452368457 0.139660721156715 -0.464780069050804 -0.105511269462085 -0.362537384575012 -0.224972740712391 0.0220830314403999 -0.160137378834576 -0.161211336288282 -0.323021139057599 -0.210618888951017 0.66681213930323 -0.900097984980057 -0.375682746620124 0.462250973677546 0.408448732190277 -1.38880505539933 -0.397736076609299 0.0884210248699549 -0.0350616841360185 -0.124962221997742 -0.717624985154293 0.324577948594264
"CHE-274427" -1.21638361813999 -1.63729416062555 -0.482516614432908 -0.277353748083851 0.0673486842238121 -0.351798715831457 -0.293079073523993 0.930680452886831 0.269831397079105 -0.138728125307121 -0.966978760462676 0.230317313413965 -1.97068889129226 0.238819593141149 0.587814673135005 -0.157071480279625 -0.836682675426184 -0.592924403485932 1.01996625362433 0.633641421844428 1.83751474253581 0.066869385584859 -0.500463570435658 -0.702336903810413 0.700538137374814 -1.35311842678954 0.206374348599994 0.0379166583140501 0.390039097433221 -0.207619782541176 -0.496966947439664 -0.333841674119375 1.93376761775383 0.519513628175445 -1.00595683552186 0.434410912225737 -0.567329802735257 1.22803517115576 -0.278262463757329 0.159817007560623 0.300615376044071 0.0889822671907097 -0.917218893912469 0.59662257057048 -0.604627859596263 -0.0897876646527611 -0.574814264491336 1.25855219487423 0.847735952114271 -0.0347765797877929 -0.166285791077251 0.25430616567328 0.40345483890838 0.108945647913453 0.217064345369961 0.0696534609518056 -0.180700545499949 -0.0965910009231986 -0.813544685252648 0.0368879383264578 -0.606315236462453 0.0889764215993447 0.281850911511124 2.07747760824102 0.262187648757829 0.675992904978984 -0.530134828004412 -0.523155086263229 0.789206327618941 -0.0941542542078527 -0.399003287703871 0.19980364506412 0.0909833482045864 0.20809852639076 0.0447566594641478 -0.0313826297567504 -0.0599372177532258 -0.104883950612743 0.217945989300256 0.0641276743406694 0.153957531060514 0.286079571721582 0.361251568924355 -0.699162076789341 0.346181298117172 -0.0731254917055586 -0.418486274675567 -0.00586224151472305 -0.10755052237517 0.0218489626712179 0.0131214412296615 -0.324936671306362 -0.0659251769948741 -0.0596267544156879 0.109807152866196 0.342678509348772 0.103874972735349 0.267509822060831
"CHE-373214" -0.10568127740488 1.13992252165816 -1.29038888069797 -0.411457709361301 0.154251362456822 -1.36206690022609 1.29320597598738 -0.662496699889666 -3.3448548253883 -0.373568598577155 -0.0490025085724285 -0.0749280797407479 -0.976889314757214 -0.484273195605381 -0.649787917503963 -2.06679492483461 -0.996651836150988 1.10033477663285 -0.829901418406998 -0.389368597937138 -0.597339313417169 0.180692831183117 -0.454895991329085 -1.12038885001765 0.885907536495358 0.594512527251847 0.0966613760217818 0.258854244399556 -0.0617779311774607 -0.0195268403810929 -0.634327486993611 -0.0906273240358564 -0.721916151888849 -0.132325713403217 -2.7033953242676 -1.11189623291369 0.0663695520390579 -1.04886707411639 1.01403084034633 -0.724790183244649 0.812673250243439 -1.56968250559424 -0.0823985279213299 -0.131715783720419 -0.485396111041617 0.196297268593151 -0.280690213343325 2.20530801893337 -1.2277790028104 0.11135371512142 -0.939924071369996 -1.16818848030606 -0.376940637431191 -0.0243381821262207 0.826587316890094 2.95161801751377 2.04711314893141 -0.365162911897516 -2.57695699850701 -0.830145218344767 -3.08198572400956 -1.25394925231782 0.0926012920493463 -0.426955210714352 0.265184145241985 -0.730992430223497 2.75850344340395 0.532699121398241 1.35949353862006 -0.372480815474923 -0.700716468072679 -1.55524347406696 1.30138118009397 -0.401284716616782 -0.462997410384923 1.35838272483641 -0.0292960160055928 -0.783393238114937 -0.795701003858555 -1.2847587715459 -0.233111273239676 -0.653747255934035 -0.639014571439399 1.76403623273307 -0.428642571820963 1.05367937830711 -1.1786595872314 -0.266539221580367 -1.27015104418353 1.71011458458521 0.702658371523266 0.296797960443774 -1.31410433243123 -0.283184856188816 -0.582519367533649 1.66289559959706 -0.309399696030783 0.208256422685706
"CHE-281186" -1.09026820413677 -1.67806769817161 -0.797930551470577 -0.123370486024455 0.0326992886375116 0.0493711883224483 -0.201130840107393 0.0418244807553555 0.157022070383373 0.104147193304742 1.86336129728178 -0.100009136472097 0.507250114223425 -0.276443672914149 -0.573089680313796 -1.05915690593712 0.371732570573301 -0.920252606038912 -0.12697788158553 -0.055941894673997 -0.59270718399947 -0.119355647031262 0.635323380146082 0.455258995393588 -0.296610310223366 -0.232109188868252 -0.105336929802882 0.915293230459174 -0.0254549672929893 0.0842169275908417 -0.575554138121722 -0.338760468386084 0.146696928721967 -0.0283986818369623 -0.0990994313507165 0.138104801653154 -0.221662241766711 1.00925777130971 0.245485992113756 -0.542102231049832 2.44155538991428 0.545347336467973 0.801703945530344 -0.201427649465584 -0.277174329672769 0.0828255009636334 0.374811239234768 -0.708116987927194 0.410902534937533 1.45690422849734 0.699458661721396 0.0486955950028797 0.22673581495043 0.0848197311330098 0.305465839696244 0.195559108719089 -0.482319367411481 -0.165233886429789 -0.478200266548925 0.0145988287754483 -0.544851388227532 -0.198897407607602 -0.0863383197568544 -0.19861774025186 -0.119937007428346 -0.434774572703983 0.0931609970518306 1.03821666649448 0.227501999397141 -0.12530175160575 -0.346457569589121 -0.181920200632156 -0.177582606656946 1.00043386965554 0.835892371240054 1.56781000179579 -0.0393279671698755 0.551189230146876 -0.627451994221393 0.147364851947714 0.265467139382266 -0.101810018269179 -0.394574656991845 -0.371557526563989 -0.0159615030954652 -0.306072686617714 0.335261070769298 0.45752340092981 -0.266637222927616 -0.998397374984569 0.608866427721121 1.98919211377635 0.71342053471561 -0.296346608594811 -1.40828688303632 -0.618330836109072 2.65169076232754 -0.987996304825014
"CHE-295159" -0.86306832945665 -1.52767917960747 -1.08615597406984 0.110358542900873 -0.0347909199579463 0.851714444355549 -0.102220322338995 -1.75003828867188 -0.25611659045274 0.15331108163556 -0.653778425145442 0.164548559133402 -0.442024722386952 0.401100091058088 0.706846204254488 0.846339871485191 -0.11251255677789 0.0354106413604586 -0.887225351637507 -0.398409970722155 -1.29390817796765 0.0306964448871997 0.593839029552391 0.228678543674675 -1.25662306024437 -0.995462844330091 0.554734039312929 -1.09144921448873 0.250651705671924 0.0323920537112636 0.311165083068867 -0.469159654534017 0.89788876395367 -0.488178072857009 -1.20102428975337 -0.493719480047949 2.24619559939923 -0.942115297799666 0.48762199689093 0.222800085649051 0.0460174950286298 1.95467720775923 -0.951681280464111 -1.39660024158827 0.84493250361522 0.024288872293494 0.0833560081324228 -0.338043909856737 0.935412648014429 -0.345939077292134 0.255914900239055 -0.0502631990839775 -0.485201789518349 -0.0526512127616947 -0.433633770957008 0.458184224539167 0.391541669311486 0.584529014645167 0.240974661306145 -0.555371045096992 -0.801855422393055 -0.122854473580538 0.179035013974011 0.789797744637477 -1.13341167976739 0.252955625837388 0.187272304212868 0.660550747161851 -1.21454715643988 0.372189902016175 0.664251644891729 -0.110297239505635 -0.151239575601302 0.0199812450704593 0.0851914553259301 -0.164474471785391 0.115382794773142 -0.255551993953896 -0.485684971154666 0.163000122119743 0.420341199667168 0.147759198039213 0.00175919345820584 -0.33907547536386 0.139634827299289 -0.0548140425253876 -0.152822875509609 0.28499120086718 0.308541037273169 -0.158972054967034 -0.301875085201255 -0.170351499304617 -0.35485232441796 0.0719566603185001 0.20001743387694 0.451426503432879 -0.33035509335394 -0.215148523219407
"CHE-361800" -0.123232439286715 1.38241170889568 -1.5543994942514 -0.62372103003914 0.186842467479874 -1.37382947008518 0.676557128621777 -0.348580368822483 -2.04270139627677 -0.151859747132814 -0.118959348967537 -0.102869953433385 -0.36151529913392 -0.250834519767149 -0.344780081430445 1.4146531481051 1.47323514980451 -1.69352530241946 0.835217330888359 0.711776967686808 0.0711301065745525 -0.751771006172713 0.245063224249353 1.48335419764923 0.632432636300889 0.218659114630026 0.878699505323744 -0.738410081873678 -0.461308857145656 -0.0600948795301146 -0.315069091116535 0.343715829504352 -0.619380015697648 0.185078497364554 -0.266716283008332 -0.270190649964721 0.249148987308223 -0.735054188575114 1.2753862492965 -0.41810566244284 0.649194990618942 -1.28251470625238 -0.0802217473474231 0.708113235414049 0.70789565186165 -0.255683643382204 -0.473074546045914 0.402923558833447 1.47246473380217 0.00123791061840245 0.219008734029166 0.568043261729241 0.725760982270465 0.191367572051146 0.182452735194319 0.00635858432298838 -0.326857660231155 0.06346361079474 0.531180369234727 -0.0542532648961959 0.53539683578019 0.563216867197944 -0.0191751278337056 0.302346984170319 -0.309896885984963 0.205860113083436 0.299340002388046 -0.334256371315167 -0.360949768266322 -0.0236351179094999 -0.345527231676837 0.771273500943161 -0.547632988123964 0.00813768874403776 -0.110272724523289 -0.303389491255474 -0.0556696631879556 0.371312385083728 -0.103300511635423 -0.68562537574952 -0.11969971833669 0.117460558105975 0.307391571300707 -0.0541369542749664 0.183162203064987 -0.261084067452482 0.614101924019413 -0.287475800200174 0.363016172179289 -0.258300496983722 0.287680666287778 1.55366292458593 0.441453390385383 -0.403149281923853 1.4067715441106 0.683898401777134 0.130667758364557 0.134448364905742
