"LCBD_repl" "LCBD_rich" "LCBD_D"
"PL02S0101_0326" 0.00618301882957638 0.0050226538800101 0.00542923303259379
"PL02S0101_0419" 0.00627705905583063 0.00485144147485819 0.00531784217388106
"PL02S0101_0420" 0.00761639807900588 0.00694534982621124 0.00680930844121176
"PL02S0101_0450" 0.00747466872760811 0.00455636685432691 0.00586754842939889
"PL02S0101_0490" 0.00604265440066855 0.00520933696516925 0.00552686666051805
"PL02S0101_0491" 0.00688497830684091 0.00482283897305149 0.00560539510899286
"PL02S0101_0493" 0.00627678794859141 0.00475276004560808 0.005341763906465
"PL02S0101_0494" 0.00503412306042573 0.00486349270148911 0.00509245105903867
"PL02S0101_0495" 0.00187240129617126 0.00772969066049346 0.00595813183521633
"PL02S0101_0566" 0.00299768693519409 0.0058439770433095 0.00554516546369934
"PL02S0101_0567" 0.00503412306042573 0.00486349270148911 0.00509245105903867
"PL02S0101_0571" 0.00561781450380442 0.00518422829375671 0.00559144591567318
"PL02S0101_0573" 0.00731203742169747 0.00693147164719771 0.0068124856223196
"PL02S0101_0574" 0.00512053305314636 0.00624361434215137 0.00573370553076727
"PL02S0101_0576" 0.0094645055906347 0.00486272438154324 0.00687085795798879
"PL02S0101_1519" 0.00634223067026326 0.00470469292695098 0.00552763539118499
"PL02S0101_1521" 0.00333098127379029 0.00544025159908532 0.0050603605978034
"PL02S0101_1554" 0.00594536200835696 0.00555293642056915 0.00593383386674147
"PL02S0101_3054" 0.00639369493203201 0.00476501869596338 0.00534729367449668
"PL02S0101_3154" 0.00586910168245268 0.00488947378659143 0.00514727271297091
"PL02S0101_3156" 0.00546147933615952 0.00522718281176206 0.00558517354069001
"PL02S0101_3317" 0.00684410908383946 0.00509106571278629 0.00577046060194107
"PL02S0101_3382" 0.00542534579203192 0.0055959282624308 0.00597882347385114
"PL02S0201_0585" 0.00903226311581335 0.00464100184797254 0.00646065938396841
"PL02S0201_3338" 0.00697580838831175 0.00509762027708249 0.00596145014282499
"PL02S0401_0602" 0.000715690638130445 0.00862973695557194 0.00508549033078841
"PL02S0401_0616" 0.000635712541813748 0.00864288383035165 0.00512377986215287
"PL02S0401_0638" 0.000539759365242389 0.00896456344675256 0.00520883702856182
"PL02S0401_0661" 0.00347628038351619 0.00731181296420633 0.00530588558777958
"PL02S0401_0662" 0.000568865130481468 0.00896068434935947 0.0052813396110385
"PL02S0401_0664" 0.00535093502704047 0.00512966391363726 0.00510343492867179
"PL02S0401_0665" 0.00740420500904897 0.00475146185387904 0.00570030085156492
"PL02S0401_0666" 0.00794886893098859 0.00451616307794489 0.00585068495578062
"PL02S0401_0669" 0.0048552892710158 0.00571896875000976 0.0051637278931506
"PL02S0401_0677" 0.00427555388493714 0.00631534264915664 0.00514354286597472
"PL02S0401_0678" 0.00835842466345712 0.00440835676584585 0.00613282262964044
"PL02S0401_0682" 0.00292123312188854 0.00731225936043077 0.00509932961740145
"PL02S0401_0692" 0.00573374598989784 0.0055892714644453 0.00595908069477159
"PL02S0401_0693" 0.005246155382104 0.00515822287517971 0.00512167171089384
"PL02S0401_1626" 0.000848212245040619 0.0103349092074173 0.0063358658812121
"PL02S0401_3208" 0.00594439319342904 0.00482229457572855 0.00522078369736998
"PL02S0401_3310" 0.00755522599262334 0.00690412479341313 0.00683420505283857
"PL02S0401_3312" 0.00634713323773347 0.00477492706501089 0.0053789997307186
"PL02S0401_3313" 0.00579496918594917 0.00477112766019133 0.00544657238229585
"PL02S0501_0576" 0.00765360068234691 0.00483948944460935 0.00599632608411208
"PL02S0501_0585" 0.00763565075277922 0.00692883380373066 0.00684856806924384
"PL02S0501_0587" 0.00433385579404635 0.00586745774261761 0.0052461366380595
