"CCall" "CCin" "CCout" "BCdir" "BCund"
"PL02S0101_0326" 0.01841640263222 0.008060644851588 0.000414420816059 9.55314963005328 12.0239990579893
"PL02S0101_0419" 0.01718220384148 0.000413736036409 0.000421157357138 4.51085950651685 8.48342956126343
"PL02S0101_0420" 0.017782942201761 0.000413393964448 0.000420809279941 0 0
"PL02S0101_0450" 0.012725378130033 0.000413393964448 0.000425180534679 0 0
"PL02S0101_0490" 0.014950012056461 0.000414421455308 0.000414935195977 4.00733318523247 9.58038553485309
"PL02S0101_0491" 0.01564521973187 0.000416143332293 0.000414420816059 4.57471097850338 10.5570619579763
"PL02S0101_0493" 0.016665747684164 0.000422103120945 0.000413735965616 4.61512051684126 11.6862567299261
"PL02S0101_0494" 0.015888347887796 0.000415109006458 0.000414249497436 3.93182563272433 10.0900501035873
"PL02S0101_0495" 0.01564238581964 0.000413736036409 0.000414420816059 2.56494935746154 8.48342956126343
"PL02S0101_0566" 0.015413840583406 0.000417530189781 0.000422727198824 7.16780918431644 10.959192340193
"PL02S0101_0567" 0.015620054134017 0.000414764803656 0.000422203283023 6.0137151560428 9.86723841986101
"PL02S0101_0571" 0.016644524447076 0.000413393964448 0.000421505716737 0 0
"PL02S0101_0573" 0.015379918329962 0.000413393964448 0.00042237785105 0 0
"PL02S0101_0574" 0.017505248678781 0.000416835176338 0.000420983283238 6.78105762593618 10.7785395363937
"PL02S0101_0576" 0.017206657795299 0.000413736036409 0.000421157357138 4.51085950651685 8.48342956126343
"PL02S0101_1519" 0.013399239712288 0.000414078533128 0.000424478170973 5.54907608489522 9.17574892720656
"PL02S0101_1521" 0.015640362225097 0.000413736036409 0.000414420816059 2.56494935746154 8.48342956126343
"PL02S0101_1554" 0.015404315501787 0.000413393964448 0.000414592205358 0 0
"PL02S0101_3054" 0.014521127098897 0.000413736036409 0.000423426741132 4.76217393479776 8.48342956126343
"PL02S0101_3154" 0.014322862677037 0.000414421455308 0.000423601803093 5.87211778947542 9.58038553485309
"PL02S0101_3156" 0.014923346582072 0.000413736036409 0.000422727198824 4.69134788222914 8.48342956126343
"PL02S0101_3317" 0.01564521973187 0.000416143332293 0.000414420816059 4.57471097850338 10.5570619579763
"PL02S0101_3382" 0.014309555090012 0.000413393964448 0.000415450211952 0 0
"PL02S0201_0585" 0.014148128210829 0.000413736036409 0.000423776935599 4.79579054559674 8.48342956126343
"PL02S0201_3338" 0.012725378130033 0.000413393964448 0.000425180534679 0 0
"PL02S0401_0602" 0.020819162584056 0.00060718588677 0.000420461485172 10.3780121965758 14.0638071036818
"PL02S0401_0616" 0.021703422462773 0.000413736036409 0.000419073130861 4.20469261939097 8.48342956126343
"PL02S0401_0638" 0.022427098018847 0.000694642747361 0.000418553663409 10.3049781058889 14.1698199060862
"PL02S0401_0661" 0.022957512461429 0.000774421665871 0.00041665438932 9.99200196606687 14.1981859418411
"PL02S0401_0662" 0.022105811689202 0.000413736036409 0.000418380648874 4.07753744390572 8.48342956126343
"PL02S0401_0664" 0.022868275705531 0.000768127718864 0.0004171715253 10.1281100097297 14.192423916583
"PL02S0401_0665" 0.022298250629386 0.000414421455308 0.000417689297204 5.01727983681492 9.58038553485309
"PL02S0401_0666" 0.02226109372123 0.000413393964448 0.000417862029147 0 0
"PL02S0401_0669" 0.021204202255468 0.000430012068081 0.000418899904405 8.00936307663004 12.2947701002915
"PL02S0401_0677" 0.022136572950902 0.000695973141999 0.000418380648874 10.2710777082154 14.3220606546768
"PL02S0401_0678" 0.021360990132247 0.000414421455308 0.000418726748587 5.23110861685459 9.58038553485309
"PL02S0401_0682" 0.022847963715393 0.000722183826547 0.000416826697319 9.95422819423931 14.1930452173434
"PL02S0401_0692" 0.022190611664296 0.000413393964448 0.000417344045279 0 0
"PL02S0401_0693" 0.021879184914402 0.00053687353098 0.000418553663409 9.7398503509463 13.8631553044885
"PL02S0401_1626" 0.021893250033954 0.000413736036409 0.000418034831741 4.00733318523247 8.48342956126343
"PL02S0401_3208" 0.020352678759311 0.000494087703224 0.000419419795678 9.54187185170622 13.5987789064154
"PL02S0401_3310" 0.021813654734411 0.000414078533128 0.000417862029147 4.65396035015752 9.17574892720656
"PL02S0401_3312" 0.018978549059314 0.000413393964448 0.000418380648874 0 0
"PL02S0401_3313" 0.02092220366701 0.000495966630348 0.000419073130861 9.50293535628861 13.6147178550595
"PL02S0501_0576" 0.013767109248673 0.000468294814245 0.000425532139556 9.9045370016717 13.3222006347443
"PL02S0501_0585" 0.016206325694868 0.000491264312797 0.000422901978562 9.96838538411397 13.5782630112638
"PL02S0501_0587" 0.016848178264596 0.000413736036409 0.000422203283023 4.63472898822964 8.48342956126343
"PL02S0501_0612" 0.011641566845126 0.000439039748531 0.000428355125177 9.41025623717109 12.686441123665
"PL02S0501_0613" 0.013623379477038 0.000467444916701 0.000425708047731 9.90463689179265 13.3117896359282
"PL02S0501_0630" 0.015615313081215 0.000419629642999 0.000423426741132 7.64444076155657 11.3610322351842
"PL02S0501_0694" 0.01539686077239 0.000415108578876 0.000424302756336 6.44730586254121 10.0895520956089
"PL02S0501_0711" 0.012373223076215 0.000413393964448 0.000427294392406 0 0
"PL02S0501_0853" 0.012115928086104 0.000413393964448 0.000427647688341 0 0
"PL02S0501_0867" 0.014924544023702 0.000413736036409 0.000423952138644 4.81218435537242 8.48342956126343
"PL02S0501_0873" 0.015776390220987 0.000413393964448 0.000423251749721 0 0
"PL02S0501_0889" 0.011405122399887 0.000435622459094 0.000428709265971 9.29771001811309 12.560426898748
"PL02S0501_0899" 0.012264461971545 0.000444437909194 0.000427471005161 9.53032021072713 12.8540393890096
"PL02S0501_0900" 0.012663929274731 0.000449181386429 0.000426941378194 9.62463306868703 12.9826000350282
"PL02S0501_0901" 0.012938645776479 0.000463236139316 0.000426588645756 9.89912806375868 13.2667718989947
"PL02S0501_0904" 0.014521563139973 0.000476174159222 0.000424653656131 9.94898659260735 13.4237560288393
"PL02S0501_1665" 0.011405122399887 0.000435622459094 0.000428709265971 9.29771001811309 12.560426898748
"PL02S0501_1737" 0.015411482765654 0.000413736036409 0.000422727198824 4.69134788222914 8.48342956126343
"PL02S0501_3262" 0.013070058323379 0.000413736036409 0.000426060075528 4.99043258677874 8.48342956126343
"PL02S0501_3264" 0.015376104084397 0.000414078533128 0.000423601803093 5.46806014113513 9.17574892720656
"PL02S0501_3281" 0.013205321449636 0.000464911309227 0.000426236195139 9.90253710100013 13.2711798556409
"PL02S0501_3282" 0.015503080740404 0.00048010121439 0.000423601803093 9.90653291072209 13.4685879054682
"PL02S0501_3283" 0.015855425794902 0.000489896740789 0.000423251749721 9.9885178017207 13.5804437057709
"PL02S0501_3284" 0.017331966654959 0.00049737182802 0.000421854358708 9.91773556580133 13.629265313566
"PL02S0501_3397" 0.018815363545817 0.000502059523745 0.000420635347251 9.81076901153292 13.6664187272217
"PL02S0501_3411" 0.011884750361261 0.000440951521593 0.000428001265949 9.45477563742468 12.7500931713538
"PL02S0501_3425" 0.014951583581702 0.000413393964448 0.000423076828862 0 0
"PL02S0501_3488" 0.014499445327257 0.000414764803656 0.000424302756336 6.22455842927536 9.86723841986101
"PL02S0501_3839" 0.014998883457807 0.000477902635935 0.000424127412225 9.92627591416656 13.4435334160171
"PL02S0601_0923" 0.014363019679357 0.000417181529866 0.000423601803093 7.1693500166706 10.8730156877927
"PL02S0601_0931" 0.012929029360339 0.000416143905247 0.000425004837989 6.9782137426307 10.5581017833793
"PL02S0601_0935" 0.015437064276412 0.000428941525584 0.000422727198824 8.46653127661401 12.231389453514
"PL02S0601_3238" 0.015661128922569 0.000429303115697 0.000422552489652 8.47031120551611 12.2530039402146
"PL02S0601_3239" 0.01260458206271 0.000413393964448 0.00042535630187 0 0
"PL02S0601_3460" 0.015419738285335 0.000413393964448 0.000422727198824 0 0
"PL02S0601_3461" 0.013620003041688 0.000419276742417 0.000424302756336 7.66996199547358 11.3033149279386
"PL02S0901_0945" 0.010734834493536 0.000425312159425 0.000429773377192 8.76295892076673 11.9836538315304
"PL02S0901_0948" 0.011288989733462 0.000434496506957 0.000428886441938 9.25941620962278 12.511783714501
"PL02S0901_0957" 0.010621241604695 0.000414078533128 0.000429950975276 5.9427993751267 9.17574892720656
"PL02S0901_0989" 0.010193886197782 0.000413736036409 0.000430662070801 5.29330482472449 8.48342956126343
"PL02S0901_0994" 0.010088367086389 0.000413393964448 0.000430840020441 0 0
"PL02S0901_3212" 0.010520270446655 0.000423520410951 0.000430128643686 8.62497078358967 11.8272835476319
"PL02S0901_3213" 0.010520270446655 0.000423520410951 0.000430128643686 8.62497078358967 11.8272835476319
"PL02S0901_3214" 0.011062868018795 0.000433384593877 0.000429241004978 9.22945648916841 12.4622021294688
"PL02S1201_0201" 0.015028621506218 0.000413393964448 0.000426412385217 0 0
"PL02S1201_0204" 0.015028247885293 0.000413393964448 0.000426412385217 0 0
"PL02S1201_0206" 0.015493345806609 0.000414765088238 0.000426060075528 6.37161184723186 9.86765309952691
"PL02S1201_1054" 0.014188558787459 0.000456967392032 0.000427471005161 9.8412397390566 13.1445161820455
"PL02S1201_1055" 0.014521039893825 0.00045818311635 0.000427117850082 9.84177171055548 13.1607106322809
"PL02S1201_1056" 0.015042739296512 0.000463207209941 0.000426588645756 9.89912806375868 13.2448181501503
"PL02S1201_1072" 0.014150032478362 0.000413393964448 0.000427471005161 0 0
"PL02S1201_1087" 0.01465276936129 0.000416490545251 0.000426941378194 7.24779258176785 10.6751223861448
"PL02S1201_1101" 0.010338369975116 0.000413736036409 0.000430128643686 5.26269018890489 8.48342956126343
"PL02S1201_3114" 0.01600942821579 0.000413393964448 0.000425532139556 0 0
"PL02S1301_1124" 0.012810460286514 0.00043946744833 0.000429063688276 9.46970012742337 12.6995486309611
"PL02S1301_1127" 0.012185043338037 0.000417181241958 0.000429773377192 7.63482067774554 10.8730156877927
"PL02S1301_1135" 0.012907909698015 0.000413393964448 0.000428886441938 0 0
"PL02S1301_1137" 0.012931933532643 0.000413393964448 0.000428886441938 0 0
"PL02S1301_1140" 0.013398794219346 0.000448457107248 0.000428355125177 9.70143256605178 12.9563324055464
"PL02S1301_1196" 0.00936070054275 0.000413393964448 0.000432266147232 0 0
"PL02S1301_1198" 0.009449705136372 0.000415108578876 0.000432087635521 6.97634807044775 10.0895520956089
"PL02S1301_1199" 0.009539063609537 0.000415798127773 0.000431909194039 7.3031700512368 10.4249563364006
"PL02S1301_1200" 0.009539063609537 0.000415798127773 0.000431909194039 7.3031700512368 10.4249563364006
"PL02S1301_1203" 0.009538010035028 0.000413393964448 0.000431909194039 0 0
"PL02S1301_1211" 0.010310421286031 0.000417183113366 0.000430484191456 7.67647364638916 10.8742285901891
"PL02S1301_1214" 0.010205589016119 0.000414078533128 0.000430662070801 5.98393628068719 9.17574892720656
"PL02S1301_3194" 0.00962859429691 0.000413393964448 0.000431730822795 0 0
"PL02S1301_3503" 0.012744023274444 0.000413393964448 0.000429063688276 0 0
"PL02S1301_3514" 0.009275064346238 0.000413393964448 0.000432444729164 0 0
"PL02S1301_3838" 0.009621085217031 0.000413393964448 0.000431730822795 0 0
"PL02S1401_0417" 0.016132260517994 0.000418228826863 0.000423776935599 7.42714413340862 11.1134623090577
"PL02S1401_0420" 0.016059295861643 0.000413393964448 0.00042535630187 0 0
"PL02S1401_0432" 0.016113125066638 0.000516318482664 0.000425532139556 10.4347332599917 13.76472029493
"PL02S1401_0462" 0.016256008605331 0.000413393964448 0.000425004837989 0 0
"PL02S1401_0507" 0.017818980382909 0.000426037104343 0.000420287693705 7.96589273508453 12.0375593148671
"PL02S1401_0516" 0.013115074199427 0.000426760005563 0.000428355125177 8.78523362361273 12.0899207787941
"PL02S1401_0517" 0.012945364991836 0.000413393964448 0.000428532160382 0 0
"PL02S1401_0520" 0.016964016360664 0.000413393964448 0.000424302756336 0 0
"PL02S1401_0521" 0.017735984684559 0.000413393964448 0.000423601803093 0 0
"PL02S1401_0524" 0.012198444168659 0.000415797841772 0.000429418392036 7.16162200293919 10.4243625121551
"PL02S1401_0530" 0.011128805103234 0.000414078533128 0.000430840020441 5.99396142730657 9.17574892720656
"PL02S1401_0540" 0.012033263164181 0.000413393964448 0.000429595849443 0 0
"PL02S1401_0543" 0.012482705928511 0.000414764945947 0.000429063688276 6.58063913728495 9.86723841986101
"PL02S1401_0546" 0.01326683455961 0.000413393964448 0.000428178160364 0 0
"PL02S1401_0557" 0.014196472605153 0.000413736036409 0.000423426741132 4.76217393479776 8.48342956126343
"PL02S1401_0558" 0.014399799903525 0.000413393964448 0.000423251749721 0 0
"PL02S1401_0561" 0.015506162705691 0.000413393964448 0.00042237785105 0 0
"PL02S1401_0563" 0.016250109207723 0.000414078533128 0.000421854358708 5.28320372873799 9.17574892720656
"PL02S1401_0572" 0.0185425181936 0.000413393964448 0.000420461485172 0 0
"PL02S1401_0573" 0.018564156897068 0.000426755034492 0.000420461485172 8.04462627976734 12.0899207787941
"PL02S1401_0587" 0.016059295861643 0.000413393964448 0.00042535630187 0 0
