"dbMEM.1" "dbMEM.2" "dbMEM.3" "dbMEM.4" "dbMEM.5" "dbMEM.6" "dbMEM.7" "dbMEM.8" "dbMEM.9" "dbMEM.10" "dbMEM.11" "dbMEM.12" "dbMEM.13" "dbMEM.14" "dbMEM.15" "dbMEM.16" "dbMEM.17" "dbMEM.18" "dbMEM.19" "dbMEM.20" "dbMEM.21" "dbMEM.22" "dbMEM.23" "dbMEM.24" "dbMEM.25" "dbMEM.26" "dbMEM.27" "dbMEM.28" "dbMEM.29" "dbMEM.30" "dbMEM.31" "dbMEM.32" "dbMEM.33" "dbMEM.34"
"PL02S0101_0326" -1.34761394952384 0.292146022571267 -0.715596091326568 -1.80971966235073 0.808347381576198 0.0363513824202913 -1.08781936991032 -1.30405099874263 -1.84007577372055 -1.03283421214956 0.149026804877705 -0.877265301764988 -1.13709274798901 1.47088441394797 -0.659808109924609 -0.0342277706378281 -2.44807473191261 -2.14482011569345 0.0492430698094221 -0.000429784289671264 0.899045718871184 -0.925699247109662 0.548387273757915 0.413699652663004 -0.657832343071843 -0.469967046717243 -0.982159296105074 0.504521005849491 0.00562040507388984 1.34487823819695 -0.586650812156582 -0.850331176137572 -0.568546083213965 0.499580246489462
"PL02S0101_0419" -1.33203088595773 0.0693062032512892 -1.43751469733081 -0.156155014432937 -0.553798912610488 -1.01721338375496 -1.68542060174524 0.10351248462678 -1.12613010684107 0.563844322798232 0.156527021412778 0.234337043311634 1.72386821136674 0.849902168266537 -1.82826829313966 0.273239085960996 1.24001025171393 -0.630978774844563 -0.68019684032667 0.0750669443166168 0.973723413631318 -0.048917516189943 -0.629948478774094 1.51079947122982 0.71069209252699 -1.44708661252267 -1.20577703674861 -1.54710335493709 -1.09694682328623 0.466567395978039 -0.175494634327111 -0.0593466214139274 0.225995119024321 -0.450264028927706
"PL02S0101_0420" -1.33245158273603 0.0690650722780655 -1.44155510129156 -0.150341934371827 -0.553545077774164 -1.01170822251986 -1.67885168874304 0.101196968284548 -1.12759012547829 0.55902227926033 0.155862163967996 0.230713818818653 1.72885261056157 0.851546621678284 -1.82572372341574 0.271317033874499 1.24786363530612 -0.618850465674486 -0.67833227693415 0.06658504930679 0.96788604283156 -0.0526630401018522 -0.621742399349781 1.51185517662562 0.73662327313399 -1.44700795305454 -1.20216901615669 -1.55179687173758 -1.09908437629319 0.463306474038588 -0.163094145639881 -0.0746645598588987 0.225904490244082 -0.46196355606947
"PL02S0101_0450" -0.825551707958011 -0.0444558981249763 -1.42435954227299 1.31970400429526 -0.131413929273479 0.872193390281466 1.37103223770008 0.592458038787123 2.06367410505137 0.532540756543604 -0.0344423153201159 0.300997052923874 -2.63027081263411 -1.17683855900904 0.776686107049612 -0.0228664391656963 -1.35003261601805 -1.20182407671072 0.823508920809405 0.153194868607532 -0.389331011892758 0.24784667558962 -0.26099009061949 -1.03538261946688 -1.38703363731674 0.0987499309327528 0.238319456076186 0.795452745806417 0.531000784340688 -0.260113692578079 0.311072711700536 -0.0664388997998794 0.177150843792093 -0.148501159630001
"PL02S0101_0490" -1.13135124754199 0.0183609405201645 -1.73568941938321 0.790379334593469 -0.198647208408916 0.254713545285602 -0.22597798485154 -0.538992242069811 -1.98102934708743 0.0983462716894389 -0.209248115666905 -0.795296135217286 -0.88069599904152 -0.772126267319022 0.13254781980884 0.000738525006999275 0.30924921829387 -0.578128341918498 0.301123463181501 -0.18488777831745 -0.978339942553163 0.330971258793113 0.294617301250598 0.484879284769568 -0.647958023575189 1.88671398008151 0.931653732687438 -0.21438679448585 -0.522307275945186 0.990720848376217 1.33117403635962 -1.9050881760373 1.50450839835946 -1.07029039927801
"PL02S0101_0491" -1.16261924974214 0.0398904872489581 -1.72767294128834 0.649467655064248 -0.0400545478845981 0.442044206171585 -0.117126685566936 -0.841677345881118 -2.33827702879359 0.41531740043879 -0.386328266135167 -0.357416412965204 -1.02324302936601 -2.4226279859413 1.1536952346037 0.00825841709145149 -0.197217739933612 0.716156071328008 0.302079416938216 0.138171566194612 -0.0333606711181156 0.142177115709891 -0.291560185481713 0.187564048611477 0.104861003666103 -1.1636571111732 -0.0315075369552845 0.610939010432649 -0.181835826589865 -0.573934492939695 -1.07807862597917 1.06463798840492 -1.0741052751268 0.804053579041907
"PL02S0101_0493" -1.47824401516542 0.211823485064827 -1.34528200421633 -1.00453271112176 0.658978422322223 0.461185913198073 -0.48269033704963 -1.86409331115707 -0.495861243683486 -1.73285576226727 0.0101985869753631 1.01527448026065 2.26894477879208 1.08848611997836 -0.0858151747573234 -0.0831281581130876 2.90104736913073 3.28111313709853 -0.182403012253876 -0.455800486707106 -0.891711300736177 0.743012095003598 -0.822295018616538 0.972765216833343 2.4133221717746 -0.621670324885724 -0.829288002250099 0.442074813776439 -0.555323189214196 -0.767532686194882 2.87179621316078 1.36846018458585 -0.461271429533922 -0.997649653449685
"PL02S0101_0494" -1.16282337783287 0.0400206032162112 -1.72737405637156 0.647945665664309 -0.039732336645459 0.441109837225933 -0.11962772430659 -0.843554666345723 -2.34449540197741 0.415270337114391 -0.386934919059196 -0.358258721007519 -1.02225532851121 -2.42400675204042 1.15458909990916 0.00849655736575843 -0.196504553434329 0.719684852886891 0.29822057902586 0.141022760836835 -0.0299854657423892 0.14299523760081 -0.293214849007178 0.191505127814842 0.101739574388166 -1.1624770271649 -0.0327927974160113 0.610192517328377 -0.182866064743865 -0.57397027688608 -1.08756304270526 1.07436008258103 -1.07695733477895 0.813896612388206
"PL02S0101_0495" -1.13076883887982 0.0181837701380062 -1.73553131726412 0.792352991543779 -0.198594470429414 0.256820642962831 -0.221170862677172 -0.536428175127327 -1.97076653017933 0.0993795512863052 -0.208689560087727 -0.792292975421218 -0.8824622545212 -0.774421394772379 0.134004006882737 0.000449557267549516 0.306403859153006 -0.580118656188709 0.30769773588516 -0.188735027288324 -0.981050679444766 0.328965594985976 0.295499279153021 0.477138683491344 -0.64022295856817 1.87487993967713 0.930603772628718 -0.210556217369675 -0.519331450236891 0.98585540399315 1.33962233525452 -1.91208984141275 1.50104738290306 -1.08114810949781
"PL02S0101_0566" -1.1527298488231 0.00333599931963171 -1.74410604261417 0.881115148940623 -0.379902028765559 0.136955532804074 0.0207913374708546 -0.191953389530404 -0.0919376794283371 -1.34482276618257 -0.0445312795772114 -0.947728403495941 -0.39173719029252 2.3677052543505 0.354934904380608 -0.247079858500407 -1.98814872332698 1.08785274816685 -0.742917758466441 0.534549995012868 1.2812138485583 -0.605878443574139 0.315310103639593 -0.886689373148006 0.263988037221901 -1.08457972414941 0.162807593706106 0.747630761656965 -0.207481270969448 -1.1185968215538 -0.177580861981466 -0.34176349443396 0.926982199739264 -0.427103316707797
"PL02S0101_0567" -1.295152978813 0.0318402836611716 -1.69426046419819 0.457978424878679 -0.536440398635661 -0.392951727281053 -0.601568842159074 0.012921676271914 0.22772659710975 -1.0005952540149 -0.215002442841432 -0.742449650439542 -2.15277153948335 1.189842499934 -1.03390863596813 0.249822837665353 1.52672259495728 -1.85841680492786 0.882696654482335 -0.25371931865552 -1.71937058759716 0.819897520440332 -0.0707753518478295 -0.257890527990176 -1.80345506798743 0.83281609474475 0.419633713203807 0.122465638132814 -0.434751324128139 -1.9480435510773 -1.91432782858927 1.66964287652168 0.61557409776376 1.49249783320488
"PL02S0101_0571" -1.34636857759854 0.0562817528014703 -1.62983276609405 0.152014713376404 -0.517941549878034 -0.679656729847481 -1.1552968129611 0.22275535387914 -0.131520566886467 0.283356470750764 -0.0162276814392607 0.0549397697231796 -0.949813883612846 0.352581173296283 0.170542571621175 0.0807533001316634 0.355390624180802 -1.14923123731713 2.47140486543635 -1.96606269920642 -0.977529568340324 0.962128024106601 -1.56826609642641 -0.776732394219718 -0.16365990038332 0.444899392219968 -0.579119118378528 1.77583995408297 1.874501133804 -2.19851466199035 1.92652934236837 -0.824492142529363 -0.146289344671356 0.0031788715074613
"PL02S0101_0573" -1.20231987208076 0.0154703567093946 -1.74242059995951 0.734480622644463 -0.399661849029271 -0.0105756250617793 -0.21603904415182 -0.203184248666253 -0.174661812052976 -1.27681172739457 -0.136179257112711 -0.946905348660812 -1.09212349524434 2.09275806963847 0.226240833014056 -0.0877649978018187 -0.513447710829883 -0.0220024472141648 -0.325566946900811 0.900345122593556 0.548633358316709 0.242456499158511 -0.6475563930182 -3.1547034333679 0.0729504134199392 0.935927216878734 0.327123357044107 -2.83289357738698 0.878823058894635 1.20713114278043 -0.021174810427482 3.47430536305164 -1.31293206108592 0.477623085081475
"PL02S0101_0574" -1.38247308142215 0.0746587058702702 -1.33810784120825 -0.305021888958662 -0.68284215507331 -1.11709482134156 -1.58548313620633 0.149963521897105 -0.746237493583093 0.609614256320126 0.2661662927289 0.701212049185759 3.32314916111551 0.65442331293725 -0.314135426250082 -0.0259191600916345 -0.208919241052609 0.558161971278831 0.748957515802339 -0.64044004462784 -1.43285887105038 -0.417247935284254 1.69027340699588 -0.514587393577919 -0.229122944164636 0.151420987731182 2.23281015344157 -0.342571198376018 0.0719795455688794 0.431567863080436 -0.843136925639683 -0.300470371045381 -0.542562177555227 0.483390002098841
"PL02S0101_0576" -1.38229329074074 0.0747219266475787 -1.33670355003582 -0.306787972304659 -0.682976805230716 -1.11863777281994 -1.5870288009907 0.150651220042777 -0.745403363102981 0.611022007917688 0.266446285612958 0.702686588846831 3.32325581953234 0.653564485229162 -0.312963227721192 -0.0257137472512938 -0.212879878399809 0.556030182565113 0.750103493592002 -0.638857074968671 -1.43390067345198 -0.416619838884022 1.69053269892594 -0.517297939782563 -0.237533879486499 0.153251994912203 2.23553442500256 -0.339680860844088 0.073930354694944 0.432555380465258 -0.847117825412203 -0.29642851388674 -0.543483992533134 0.487577500819778
"PL02S0101_1519" -0.982822474213182 -0.0278219801313763 -1.67408645541827 1.25203402549955 -0.216842057156341 0.626685806308322 0.767694027661451 0.38769210292513 1.31299346481817 0.640338020921302 0.146387411696129 0.934111210084177 0.610119693775606 -0.0442443945374117 -0.645927437899971 0.110923530393983 0.471037676368625 0.11268147344119 0.837100096882346 -0.588132024723007 -1.28307099557291 0.148589072587728 0.42216540035966 0.547228888582186 0.55697062947017 -1.79859657292877 1.01791464467507 -1.39706408156019 -1.23355058812553 0.392327441171877 1.01468655480606 0.430017411075515 -0.745600490019725 -1.03778699303628
"PL02S0101_1521" -1.14722212354978 0.0290907361479245 -1.73282149610167 0.721010673617324 -0.119715302765072 0.349182657971601 -0.171683970310744 -0.696876418884559 -2.1879148498375 0.260768739855174 -0.304756505493369 -0.59270292974723 -0.985328088251831 -1.65858178717713 0.678240018376836 0.00479299101128251 0.0609636730980297 0.0729809700497491 0.335038684695149 -0.0267026699366474 -0.576509512743502 0.273887778908183 0.00134721963872968 0.395989959305499 -0.324085380809236 0.438236633230052 0.566211157977901 0.254530988108673 -0.458783457705561 0.276497469210567 0.18725031476915 -0.638826102348546 0.345602734063389 -0.229183475352346
"PL02S0101_1554" -1.07758106947108 0.00674805566742641 -1.71197262584959 0.914169534339395 -0.175321679883071 0.402177440809665 0.0531721905390599 -0.506437984119683 -1.55910461558076 -0.100379591919152 -0.031798449921401 -0.728183723306032 0.214523985072827 -0.222758606267316 -0.6453646215218 -0.00862773168378531 0.45783315651466 -2.20388525771172 1.00310972520136 -1.12748603080339 -0.411722124076665 -1.04131196410183 0.990015335994421 -1.85176092966703 1.89238331740338 0.654411260334687 -1.47123017810893 -0.920272624153032 2.26912643739672 1.41425311171969 1.22221159664805 -1.00446100742194 0.106527740572072 -0.879608660647094
