"Abramis_br" "Alburnoide" "Alburnus_a" "Aspius_asp" "Barbatula" "Barbus_bar" "Blicca_bjo" "Carassiu_1" "Carassiu_2" "Chondrosto" "Cobitis_el" "Cottus_gob" "Cyprinus_c" "Esox_luciu" "Eudontomyz" "Gobio_gobi" "Gymnocep_1" "Hucho_huch" "Lampetra_p" "Leucaspius" "Leuciscus" "Leuciscu_1" "Lota_lota" "Perca_fluv" "Phoxinus_p" "Proterorhi" "Rhodeus_am" "Romanogo_2" "Rutilus_pi" "Rutilus_ru" "Sabanejewi" "Salmo_trut" "Salmo_tr_1" "Sander_luc" "Scardinius" "Silurus_gl" "Squalius_c" "Telestes_s" "Thymallus" "Tinca_tinc" "Vimba_vimb" "Zingel_str" "Zingel_zin"
"7622" 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 923.3 0 0 0 0 0 0 0 0 0 0 0
"8527" 0 0 0 0 0 0 0 0 0 0 0 2.9 0 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 28.4 0 0 0 0 0 0 24.6 0 0 0 0
"8481" 0 0 0 0 0 0 0 0 0 0 0 3.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18.5 0 0 0 0 0 0 64.7 0 0 0 0
"8216" 0 0 0 0 0 0 0 0 0 0 0 237.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2774.9 0 0 0 0 429.9 0 57 0 0 0 0
"8669" 0 0 0 0 0 0 0 0 0 0 0 1457.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1600 0 0 0 0 0 0 0 0 0 0 0
"8376" 0 0 0 0 0 0 0 0 0 0 0 93.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 225 0 0 0 0 0 0 0 0 0 0 0
"8665" 0 0 0 0 0 0 0 0 0 0 0 11743.1 0 0 0 0 0 0 0 0 0 0 150 0 0 0 0 0 0 0 0 3223.1 0 0 0 0 0 0 0 0 0 0 0
"8680" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 294.1 0 0 0 0 0 0 0 0 0 0 0
"7903" 0 0 0 0 0 0 0 0 0 0 0 111.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 853 0 0 0 0 0 0 0 0 0 0 0
"8694" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 348 0 0 0 0 0 0 0 0 0 0 0
"8677" 0 0 0 0 0 0 0 0 0 0 0 3271.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2538.9 0 0 0 0 0 0 0 0 0 0 0
"7905" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 659.3 0 0 0 0 0 0 0 0 0 0 0
"8380" 0 0 0 0 0 0 0 0 0 0 0 793.5 0 0 0 0 0 0 0 0 0 0 0 0 17.4 0 0 0 0 0 0 3228.7 0 0 0 0 0 0 8.7 0 0 0 0
"7866" 0 0 0 0 2327.3 0 0 0 0 0 0 0 0 0 0 40659.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33.3 0 0 0 0 208.3 0 0 0 0 0 0
"7867" 0 0 0 0 3650.7 0 0 0 0 0 0 0 0 0 0 200 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3347 0 0 0 0 0 0 0 0 0 0 0
"8026" 0 0 0 0 0 0 0 0 0 0 0 752 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1337.6 0 0 0 0 0 0 961.1 0 0 0 0
"8063" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 340.4 0 0 0 0 0 0 0 0 0 0 0
"8447" 0 512.1 0 0 19822 0 0 0 0 0 0 0 0 0 0 4654.1 0 0 0 0 0 502.6 0 66.7 0 0 0 0 0 0 0 0 0 0 0 0 366.7 0 0 0 0 0 0
"7961" 0 0 0 0 0 0 0 0 0 0 0 232.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2680.1 0 0 0 0 0 0 28.6 0 0 0 0
"7658" 0 0 0 0 266.1 0 0 0 0 0 0 124.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 339.5 0 0 0 0 0 0 0 0 0 0 0
"8338" 0 0 0 0 1257.2 0 0 0 0 0 0 2201.5 0 0 0 0 0 0 0 0 0 0 0 0 197.7 0 0 0 0 0 0 636.2 0 0 0 0 0 0 24 0 0 0 0
"8670" 0 0 0 0 0 0 0 0 0 0 0 1624.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4836.6 0 0 0 0 0 0 0 0 0 0 0
"8027" 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 357.4 0 0 0 0 0 0 0 0 0 0 0
"7992" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1979.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7993" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 355.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8377" 0 0 0 0 0 0 0 0 0 0 0 3160.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2116 0 0 0 0 0 0 0 0 0 0 0
"8293" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 848.5 0 0 0 0 0 0 0 0 0 0 0
"8294" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1514.4 0 0 0 0 0 0 0 0 0 0 0
"9696" 0 0 0 0 0 0 0 0 0 0 0 1189.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1475.1 0 0 0 0 19.4 0 0 0 0 0 0
"7660" 0 104.7 184.3 33 507.9 55.7 6.2 0 12.4 3828.4 0 74.3 0 0 0 869.8 0 0 0 0 119.3 3072.6 6.2 27.9 86.7 198.9 274.1 88.5 0 50.6 0 12.4 0 0 0 0 1855.7 0 0 0 6.2 0 0
"7963" 0 0 0 0 0 0 0 0 0 0 0 122.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 656.6 0 0 0 0 0 0 0 0 0 0 0
"7964" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26.7 0 0 0 0 0 0 0 0 0 0 0
"8446" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1455.4 0 0 0 0 0 0 0 0 0 0 0
"8146" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.5 0 0 0 0 0 0 0 0 0 0 0
"8147" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0
"8430" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 963.3 0 0 0 0 0 0 0 0 0 0 0
"7778" 0 0 0 0 802.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2759.7 0 0 0 0 0 0 0 0 0 0 0
"8374" 0 0 0 0 0 0 0 0 0 0 0 2035.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1344.8 0 0 0 0 0 0 0 0 0 0 0
"8672" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3696.1 0 0 0 0 0 0 0 0 0 0 0
"8040" 0 0 0 0 0 0 0 0 0 0 0 17.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 293.9 0 0 0 0 0 0 0 0 0 0 0
"7753" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 875.3 0 0 0 0 0 0 0 0 0 0 0
"7869" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37554.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8514" 0 0 0 0 6.4 0 0 0 0 0 6.4 257 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0
"8556" 0 0 0 0 0 0 0 0 0 0 0 2577.8 20 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 666.7 0 0 0 0 0 0 0 0 0 0 0
"8521" 0 0 0 0 0 0 0 0 0 0 0 2312.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3173.6 0 0 0 0 0 0 0 0 0 0 0
"8558" 0 330.4 0 0 664.3 82.7 0 0 0 0 0 107.1 0 0 0 496 0 0 58.3 0 0 17.9 0 0 232.1 0 0 0 0 0 0 653.7 0 0 0 0 2008.4 0 142.9 0 0 0 0
"8671" 0 0 0 0 260.4 41.7 0 0 0 0 0 3499.1 0 0 0 0 0 0 0 0 0 0 0 0 52.1 0 0 0 0 0 0 368.6 8.3 0 0 0 0 0 68.1 0 0 0 0
"7981" 0 0 0 0 5044.1 0 0 0 0 0 0 0 0 0 0 264.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 647.1 0 0 0 0 367.6 0 0 0 0 0 0
"8241" 0 0 0 0 34 0 0 0 0 0 0 204.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2965.7 0 0 0 0 0 0 0 0 0 0 0
"8525" 0 0 0 0 0 0 0 0 0 0 0 1791.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4867.6 0 0 0 0 0 0 0 0 0 0 0
"8428" 0 0 0 0 0 0.4 0 0 0 0 0 19.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 91 0 0 0 0 0 0 32.9 0 0 0 0
"7864" 0 0 333.3 0 0 0 0 0 40 80 1666.7 0 0 0 0 3916.8 0 0 0 0 80 0 0 200 0 1138.8 0 0 0 1900 0 0 0 0 0 0 360 0 0 0 0 0 0
"7406" 29.8 0 304.3 0 8.7 0 0 164.5 0 18 0 0 7.9 36 0 190.3 15.9 0 0 0 5.8 0 0 79.6 0 292.7 4316.9 0 0 23167.5 0 0 0 6 248.9 0 194.5 0 0 20 0 0 0
"7959" 0 0 0 0 0 0 0 0 0 0 0 1821.4 0 0 0 28.6 0 0 0 0 0 0 0 0 178.6 0 0 0 0 550.5 0 345.7 0 0 0 0 0 0 0 0 0 0 0
"8341" 0 0 0 0 60582.8 0 0 0 0 0 0 0 0 0 0 28741.5 0 0 0 0 0 166.7 0 0 2583.3 0 0 0 0 0 0 4771.6 0 0 133.3 0 12160.5 0 0 0 0 0 0
"7958" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1843 0 0 0 0 0 0 0 0 0 0 0
"8378" 0 0 0 0 0 0 0 0 0 0 0 3088.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1502.2 0 0 0 0 0 0 0 0 0 0 0
"8559" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0
"7972" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 547.8 0 0 0 0 0 0 0 0 0 0 0
"8375" 0 291.7 0 0 714.3 0 0 0 20.8 0 41.7 640 0 0 0 2051.3 0 0 0 0 0 0 0 0 3145.8 0 0 0 0 0 0 133.3 0 0 0 0 120 0 0 0 0 0 0
"7781" 0 0 0 0 0 0 0 0 0 0 0 165.6 0 0 0 0 0 0 0 0 0 41.4 0 0 0 0 0 0 0 0 0 997.2 0 0 0 0 103.5 0 0 0 0 0 0
"7746" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1311.2 0 0 0 0 0 0 0 0 0 0 0
"8217" 0 0 0 0 0 0 0 0 0 0 0 43.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7609.6 0 0 0 0 0 0 0 0 0 0 0
"8649" 0 0 0 0 0 0 0 0 0 0 0 9507.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1290.2 0 0 0 0 0 0 0 0 0 0 0
"8372" 0 0 0 0 0 0 0 0 0 0 0 2204.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1808.5 0 0 0 0 0 0 104.2 0 0 0 0
"9873" 0 0 0 0 0 0 0 0 0 0 0 12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.7 0 0 0 0 0 0 0 0 0 0 0
"9874" 0 0 0 0 0 0 0 0 0 0 0 23.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8687" 0 360.6 0 0 294.3 38.1 0 0 0 0 0 203.2 0 0 0 56 0 0 0 0 0 62.5 0 0 1941 0 0 0 0 0 0 182 0 0 0 0 676.9 0 0 0 0 0 0
"8455" 0 0 0 0 0 0 0 0 0 0 0 865.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2334.7 0 0 0 0 0 0 0 0 0 0 0
"8456" 0 0 0 0 0 0 0 0 0 0 0 5475 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1626.1 0 0 0 0 0 0 0 0 0 0 0
"8433" 0 0 0 0 0 0 0 0 0 0 0 5004.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 858 0 0 0 0 0 0 0 0 0 0 0
"8434" 0 0 0 0 0 0 0 0 0 0 0 5293.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2811.9 0 0 0 0 0 0 0 0 0 0 0
"7875" 0 160 0 0 14070.3 288 0 0 0 0 0 0 0 0 0 6300 0 0 0 0 0 0 0 0 2000 0 0 0 0 0 0 1515.2 0 0 0 0 3971.3 0 0 0 0 0 0
"7876" 0 266.7 0 0 18533.8 1848.1 0 0 0 25 0 0 0 0 0 6978.1 0 0 0 0 0 0 0 25 1600 0 0 0 0 0 0 756.3 0 0 0 0 11152.7 0 0 0 0 0 0
"7639" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 353.7 0 0 0 0 0 0 0 0 0 0 0
"7758" 0 0 0 0 0 0 0 0 0 0 0 2235.8 0 0 0 0 30.3 0 0 0 0 0 0 3317 0 0 0 0 0 30.3 0 4232.4 90.9 0 0 0 1155.1 0 0 30.3 0 0 0
"7762" 0 0 0 0 0 0 0 0 0 0 0 6882.5 0 0 0 0 676.2 0 0 0 0 0 0 1385.8 0 0 0 0 0 0 0 1754.9 0 0 0 0 1482.5 0 0 0 0 0 0
"7878" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 289.3 0 0 0 0 0 0 0 0 0 0 0
"7879" 0 0 0 0 704.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 337.5 0 0 0 0 0 0 0 0 0 0 0
"8085" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 211.3 0 0 0 0 0 0 0 0 0 0 0
"8086" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 150 0 0 0 0 0 0 0 0 0 0 0
"8221" 0 0 0 0 0 0 0 0 0 0 0 1363.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6309 0 0 0 0 0 0 0 0 0 0 0
"7925" 11.3 1.6 686.5 7.1 0 3.3 6 0 0 3.8 0 0 0.6 0.8 0 0 0 0 0 0 27.9 0 0 54.2 0 10.1 6 0 0 79.3 0 0 0 2 4 0.8 121.4 0 0 2 6 0 3.2
"8683" 0 0 0 0 100 0 0 0 0 0 0 3266.7 0 0 0 0 0 0 83.3 0 0 0 0 0 0 0 0 0 0 0 0 2865.1 0 0 0 0 0 0 0 0 0 0 0
"8339" 0 0 0 0 0 0 0 0 0 0 0 4210.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 792.2 0 0 0 0 0 0 0 0 0 0 0
"8704" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 672.2 0 0 0 0 0 0 0 0 0 0 0
"8244" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2317.1 0 0 0 0 0 0 0 0 0 0 0
"8451" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5449.1 0 0 0 0 0 0 0 0 0 0 0
"8390" 0 0 0 0 19790.5 0 0 0 0 0 0 0 0 0 0 3422.2 0 0 0 0 0 0 0 0 4495.2 0 0 0 0 0 0 519.7 0 0 0 0 15534.6 0 0 0 0 0 0
"8092" 0 0 0 0 0 0 0 0 0 0 0 643.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 224.1 0 0 0 0 0 0 103.4 0 0 0 0
"8690" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2942.3 0 0 0 0 0 0 0 0 0 0 0
"7911" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 958.3 0 0 0 0 0 0 0 0 0 0 0
"8453" 0 208.3 0 0 1401.7 0 0 0 0 0 0 0 0 0 0 5278 0 0 0 0 0 1111.1 0 0 0 0 33.3 0 0 33.3 0 0 0 0 0 0 833.3 0 0 0 0 0 0
"7953" 0 0 0 0 9.6 0 0 0 0 0 0 322.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56.1 0 0 0 0 0 0 2993.4 0 0 0 0
"8686" 0 0 0 0 0 0 0 0 0 0 0 4205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1845.8 0 0 0 0 0 0 0 0 0 0 0
"8689" 0 0 0 0 0 0 0 0 0 0 0 1060.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1535.4 0 0 0 0 0 0 448.3 0 0 0 0
"8563" 0 0 0 0 133.3 0 0 0 0 0 0 3809.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 416.7 0 0 0 0 0 0 0 0 0 0 0
